,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
5296,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5297,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5298,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5299,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5300,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5301,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5303,esp.admin,2017-02-15,esp.admin,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5304,esp.admin,2017-02-15,esp.admin,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5598,esp.admin,2017-02-15,esp.admin,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5604,esp.admin,2017-02-15,esp.admin,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5618,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5619,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5620,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5621,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5622,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5623,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5626,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5627,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
7677,000323,2017-03-01,000323,ODS_CLM_0350,2017-01-31,2017-01-31,True,2017,3,1,3,2017,1,31,2,2017,1,31,2
12312,jesse,2017-03-17,jesse,ODS_CLM_0350,2017-02-02,2017-02-02,True,2017,3,17,5,2017,2,2,4,2017,2,2,4
13141,jesse,2017-03-17,jesse,ODS_CLM_0350,2017-02-02,2017-02-02,True,2017,3,17,5,2017,2,2,4,2017,2,2,4
13142,jesse,2017-03-17,jesse,ODS_CLM_0350,2017-01-31,2017-01-31,True,2017,3,17,5,2017,1,31,2,2017,1,31,2
15006,jesse,2017-03-24,jesse,ODS_CLM_0350,2017-02-01,2017-02-01,True,2017,3,24,5,2017,2,1,3,2017,2,1,3
15007,jesse,2017-03-24,jesse,ODS_CLM_0350,2017-02-14,2017-02-14,True,2017,3,24,5,2017,2,14,2,2017,2,14,2
15118,jesse,2017-03-24,jesse,ODS_CLM_0350,2017-02-28,2017-02-28,True,2017,3,24,5,2017,2,28,2,2017,2,28,2
