,username,query_date,report_name,doc,start_date,end_date,is_period
173,calvin,2017-02-08,calvin,ODS_CLM_0440,,9999-12-31,True
245,calvin,2017-02-09,calvin,ODS_CLM_0440,,9999-12-31,True
4917,jesse,2017-02-08,jesse,ODS_CLM_0440,,9999-12-31,True
5715,jesse,2017-02-08,jesse,ODS_CLM_0440,,9999-12-31,True
5725,calvin,2017-02-08,calvin,ODS_CLM_0440,,9999-12-31,True
5726,calvin,2017-02-08,calvin,ODS_CLM_0440,,9999-12-31,True
5727,calvin,2017-02-08,calvin,ODS_CLM_0440,,9999-12-31,True
5728,calvin,2017-02-08,calvin,ODS_CLM_0440,,9999-12-31,True
8435,001101,2017-03-02,001101,ODS_CLM_0440,,9999-12-31,True
14574,jesse,2017-03-21,jesse,ODS_CLM_0440,,9999-12-31,True
15062,yusiang,2017-03-24,yusiang,ODS_CLM_0440,,9999-12-31,True
