,username,query_date,report_name,doc,start_date,end_date,is_period
10480,000718,2017-03-11,000718,ODS_FIN_1550,,9999-12-31,True
10482,000718,2017-03-11,000718,ODS_FIN_1550,,9999-12-31,True
10496,000718,2017-03-11,000718,ODS_FIN_1550,,9999-12-31,True
10497,000718,2017-03-11,000718,ODS_FIN_1550,,9999-12-31,True
10499,000718,2017-03-11,000718,ODS_FIN_1550,,9999-12-31,True
10500,000718,2017-03-11,000718,ODS_FIN_1550,,9999-12-31,True
10515,000718,2017-03-11,000718,ODS_FIN_1550,,9999-12-31,True
10516,000718,2017-03-11,000718,ODS_FIN_1550,,9999-12-31,True
10518,000718,2017-03-11,000718,ODS_FIN_1550,,9999-12-31,True
10519,000718,2017-03-11,000718,ODS_FIN_1550,,9999-12-31,True
13619,roxana,2017-03-20,roxana,ODS_FIN_1550,,9999-12-31,True
14088,roxana,2017-03-20,roxana,ODS_FIN_1550,,9999-12-31,True
15402,roxana,2017-03-21,roxana,ODS_FIN_1550,,9999-12-31,True
18607,000718,2017-03-29,000718,ODS_FIN_1550,,9999-12-31,True
23635,001867,2017-04-07,001867,ODS_FIN_1550,,9999-12-31,True
28322,000718,2017-04-14,000718,ODS_FIN_1550,,9999-12-31,True
29731,000718,2017-04-14,000718,ODS_FIN_1550,,9999-12-31,True
29732,000718,2017-04-14,000718,ODS_FIN_1550,,9999-12-31,True
30482,000718,2017-04-21,000718,ODS_FIN_1550,,9999-12-31,True
30517,000718,2017-04-20,000718,ODS_FIN_1550,,9999-12-31,True
30518,000718,2017-04-20,000718,ODS_FIN_1550,,9999-12-31,True
30519,000718,2017-04-20,000718,ODS_FIN_1550,,9999-12-31,True
30520,000718,2017-04-20,000718,ODS_FIN_1550,,9999-12-31,True
30521,000718,2017-04-20,000718,ODS_FIN_1550,,9999-12-31,True
30576,000718,2017-04-20,000718,ODS_FIN_1550,,9999-12-31,True
30577,000718,2017-04-20,000718,ODS_FIN_1550,,9999-12-31,True
30953,000718,2017-04-18,000718,ODS_FIN_1550,,9999-12-31,True
31107,000718,2017-04-18,000718,ODS_FIN_1550,,9999-12-31,True
31108,000718,2017-04-18,000718,ODS_FIN_1550,,9999-12-31,True
31109,000718,2017-04-18,000718,ODS_FIN_1550,,9999-12-31,True
31111,000718,2017-04-18,000718,ODS_FIN_1550,,9999-12-31,True
31434,000718,2017-04-20,000718,ODS_FIN_1550,,9999-12-31,True
31435,000718,2017-04-20,000718,ODS_FIN_1550,,9999-12-31,True
32022,000718,2017-04-20,000718,ODS_FIN_1550,,9999-12-31,True
32023,000718,2017-04-20,000718,ODS_FIN_1550,,9999-12-31,True
32024,000718,2017-04-20,000718,ODS_FIN_1550,,9999-12-31,True
32025,000718,2017-04-20,000718,ODS_FIN_1550,,9999-12-31,True
32310,000718,2017-04-20,000718,ODS_FIN_1550,,9999-12-31,True
