,username,query_date,report_name,doc,start_date,end_date,is_period
258,roxana,2017-02-14,roxana,ODS_INV_7200,,9999-12-31,True
264,invdaphne,2017-02-14,invdaphne,ODS_INV_7200,,9999-12-31,True
551,weiting,2017-02-10,weiting,ODS_INV_7200,,9999-12-31,True
552,weiting,2017-02-10,weiting,ODS_INV_7200,,9999-12-31,True
557,weiting,2017-02-14,weiting,ODS_INV_7200,,9999-12-31,True
1419,roxana,2017-02-13,roxana,ODS_INV_7200,,9999-12-31,True
1420,roxana,2017-02-13,roxana,ODS_INV_7200,,9999-12-31,True
1421,roxana,2017-02-13,roxana,ODS_INV_7200,,9999-12-31,True
1422,roxana,2017-02-13,roxana,ODS_INV_7200,,9999-12-31,True
2620,000316,2017-02-20,000316,ODS_INV_7200,,9999-12-31,True
4032,000316,2017-02-22,000316,ODS_INV_7200,,9999-12-31,True
4034,000316,2017-02-22,000316,ODS_INV_7200,,9999-12-31,True
4035,000316,2017-02-22,000316,ODS_INV_7200,,9999-12-31,True
4036,000316,2017-02-22,000316,ODS_INV_7200,,9999-12-31,True
4037,000316,2017-02-22,000316,ODS_INV_7200,,9999-12-31,True
4038,000316,2017-02-22,000316,ODS_INV_7200,,9999-12-31,True
4039,000316,2017-02-22,000316,ODS_INV_7200,,9999-12-31,True
4040,000316,2017-02-22,000316,ODS_INV_7200,,9999-12-31,True
4079,000316,2017-02-22,000316,ODS_INV_7200,,9999-12-31,True
4080,000316,2017-02-22,000316,ODS_INV_7200,,9999-12-31,True
4081,000316,2017-02-22,000316,ODS_INV_7200,,9999-12-31,True
4082,000316,2017-02-22,000316,ODS_INV_7200,,9999-12-31,True
4786,000316,2017-03-09,000316,ODS_INV_7200,,9999-12-31,True
4981,000316,2017-03-10,000316,ODS_INV_7200,,9999-12-31,True
5387,000316,2017-02-10,000316,ODS_INV_7200,,9999-12-31,True
5464,000759,2017-02-23,000759,ODS_INV_7200,,9999-12-31,True
5522,000316,2017-02-23,000316,ODS_INV_7200,,9999-12-31,True
5610,000768,2017-02-15,000768,ODS_INV_7200,,9999-12-31,True
6097,invdaphne,2017-02-09,invdaphne,ODS_INV_7200,,9999-12-31,True
6098,invdaphne,2017-02-09,invdaphne,ODS_INV_7200,,9999-12-31,True
6346,roxana,2017-02-09,roxana,ODS_INV_7200,,9999-12-31,True
6474,allencha,2017-03-03,allencha,ODS_INV_7200,,9999-12-31,True
6954,000768,2017-02-15,000768,ODS_INV_7200,,9999-12-31,True
7424,000316,2017-03-06,000316,ODS_INV_7200,,9999-12-31,True
