,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1841,000768,2017-02-16,000768,ODS_INV_7250,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
2621,000316,2017-02-20,000316,ODS_INV_7250,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
2897,000768,2017-02-18,000768,ODS_INV_7250,,9999-12-31,True,2017,2,18,6,0,0,0,0,0,0,0,0
4041,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4042,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4062,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4063,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4064,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4065,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4066,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4067,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4078,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4161,000316,2017-02-23,000316,ODS_INV_7250,,9999-12-31,True,2017,2,23,4,0,0,0,0,0,0,0,0
6426,000768,2017-02-17,000768,ODS_INV_7250,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
7031,000768,2017-02-15,000768,ODS_INV_7250,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
11260,000316,2017-03-13,000316,ODS_INV_7250,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
14284,000768,2017-03-20,000768,ODS_INV_7250,,9999-12-31,True,2017,3,20,1,0,0,0,0,0,0,0,0
14287,000768,2017-03-20,000768,ODS_INV_7250,,9999-12-31,True,2017,3,20,1,0,0,0,0,0,0,0,0
19144,roxana,2017-03-29,roxana,ODS_INV_7250,,9999-12-31,True,2017,3,29,3,0,0,0,0,0,0,0,0
21504,dennis,2017-04-05,dennis,ODS_INV_7250,2017-03-01,2017-04-01,True,2017,4,5,3,2017,3,1,3,2017,4,1,6
21505,dennis,2017-04-05,dennis,ODS_INV_7250,2017-03-01,2017-04-01,True,2017,4,5,3,2017,3,1,3,2017,4,1,6
