,username,query_date,report_name,doc,start_date,end_date,is_period
1262,000368,2017-02-14,000368,ODS_PA_0450,2016-12-30,2016-12-30,True
4027,002064,2017-02-22,002064,ODS_PA_0450,2017-01-03,2017-01-03,True
4366,000368,2017-02-24,000368,ODS_PA_0450,2016-12-30,2016-12-30,True
4368,000368,2017-02-24,000368,ODS_PA_0450,2017-01-03,2017-01-03,True
4369,000368,2017-02-24,000368,ODS_PA_0450,2017-01-31,2017-01-31,True
4671,000279,2017-03-08,000279,ODS_PA_0450,2017-01-13,2017-01-13,True
6583,000368,2017-03-03,000368,ODS_PA_0450,2017-01-03,2017-01-03,True
6630,000368,2017-03-03,000368,ODS_PA_0450,2017-01-10,2017-01-10,True
7354,002064,2017-02-24,002064,ODS_PA_0450,2017-01-03,2017-01-03,True
7736,002064,2017-03-01,002064,ODS_PA_0450,2017-01-10,2017-01-10,True
7737,002064,2017-03-01,002064,ODS_PA_0450,2017-01-03,2017-01-03,True
8192,002064,2017-03-04,002064,ODS_PA_0450,2017-01-10,2017-01-10,True
10906,002064,2017-03-14,002064,ODS_PA_0450,2017-01-26,2017-01-26,True
12024,jesse,2017-03-15,jesse,ODS_PA_0450,2017-01-16,2017-01-16,True
12059,jesse,2017-03-15,jesse,ODS_PA_0450,2017-01-10,2017-01-10,True
12086,jesse,2017-03-15,jesse,ODS_PA_0450,2017-01-26,2017-01-26,True
12087,jesse,2017-03-15,jesse,ODS_PA_0450,2017-02-02,2017-02-02,True
12088,jesse,2017-03-15,jesse,ODS_PA_0450,2017-02-02,2017-02-02,True
12090,jesse,2017-03-15,jesse,ODS_PA_0450,2017-01-26,2017-01-26,True
20082,002064,2017-03-30,002064,ODS_PA_0450,2017-03-01,2017-03-01,True
22413,jesse,2017-04-06,jesse,ODS_PA_0450,2017-03-01,2017-03-01,True
27861,002064,2017-04-10,002064,ODS_PA_0450,2017-04-05,2017-04-05,True
30497,002064,2017-04-20,002064,ODS_PA_0450,2017-04-30,2017-04-30,True
