,username,query_date,report_name,doc,start_date,end_date,is_period
2753,jesse,2017-02-20,jesse,ODS_PA_0610_P,2016-08-15,2016-08-15,True
2754,jesse,2017-02-20,jesse,ODS_PA_0610_P,2016-08-15,2016-08-15,True
3928,calvin,2017-02-21,calvin,ODS_PA_0610_P,2017-01-02,2017-01-02,True
3929,calvin,2017-02-21,calvin,ODS_PA_0610_P,2017-01-02,2017-01-02,True
3930,calvin,2017-02-21,calvin,ODS_PA_0610_P,2017-01-02,2017-01-02,True
4247,000368,2017-02-24,000368,ODS_PA_0610_P,2017-01-03,2017-01-03,True
4248,000368,2017-02-24,000368,ODS_PA_0610_P,2017-01-03,2017-01-03,True
4251,000368,2017-02-24,000368,ODS_PA_0610_P,2017-01-03,2017-01-03,True
4384,001415,2017-03-01,001415,ODS_PA_0610_P,2017-01-03,2017-01-03,True
4385,001415,2017-03-01,001415,ODS_PA_0610_P,2017-01-03,2017-01-03,True
4386,001415,2017-03-01,001415,ODS_PA_0610_P,2017-01-03,2017-01-03,True
4387,001415,2017-03-01,001415,ODS_PA_0610_P,2017-01-03,2017-01-03,True
4388,001415,2017-03-01,001415,ODS_PA_0610_P,2017-01-03,2017-01-03,True
4389,001415,2017-03-01,001415,ODS_PA_0610_P,2017-01-03,2017-01-03,True
4390,001415,2017-03-01,001415,ODS_PA_0610_P,2017-01-03,2017-01-03,True
4391,001415,2017-03-01,001415,ODS_PA_0610_P,2017-01-03,2017-01-03,True
7745,001415,2017-03-01,001415,ODS_PA_0610_P,2016-11-30,2016-11-30,True
7835,001415,2017-03-01,001415,ODS_PA_0610_P,2017-01-03,2017-01-03,True
11404,001415,2017-03-13,001415,ODS_PA_0610_P,2017-01-26,2017-01-26,True
11405,001415,2017-03-13,001415,ODS_PA_0610_P,2017-01-26,2017-01-26,True
