,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
91,002064,2017-02-09,002064,ODS_PA_0680,2016-12-31,2016-12-31,True,2017,2,9,4,2016,12,31,6,2016,12,31,6
92,002064,2017-02-09,002064,ODS_PA_0680,2016-11-30,2016-11-30,True,2017,2,9,4,2016,11,30,3,2016,11,30,3
269,002064,2017-02-09,002064,ODS_PA_0680,2016-12-30,2016-12-30,True,2017,2,9,4,2016,12,30,5,2016,12,30,5
474,002064,2017-02-09,002064,ODS_PA_0680,2017-01-31,2017-01-31,True,2017,2,9,4,2017,1,31,2,2017,1,31,2
2580,002064,2017-02-17,002064,ODS_PA_0680,2017-01-02,2017-01-02,True,2017,2,17,5,2017,1,2,1,2017,1,2,1
2622,002064,2017-02-20,002064,ODS_PA_0680,2017-01-02,2017-01-02,True,2017,2,20,1,2017,1,2,1,2017,1,2,1
3663,002064,2017-02-20,002064,ODS_PA_0680,2017-01-02,2017-01-02,True,2017,2,20,1,2017,1,2,1,2017,1,2,1
3750,002064,2017-02-20,002064,ODS_PA_0680,2017-01-03,2017-01-03,True,2017,2,20,1,2017,1,3,2,2017,1,3,2
3873,000368,2017-02-20,000368,ODS_PA_0680,2016-12-30,2016-12-30,True,2017,2,20,1,2016,12,30,5,2016,12,30,5
3874,000368,2017-02-20,000368,ODS_PA_0680,2016-12-31,2016-12-31,True,2017,2,20,1,2016,12,31,6,2016,12,31,6
3875,000368,2017-02-20,000368,ODS_PA_0680,2016-11-30,2016-11-30,True,2017,2,20,1,2016,11,30,3,2016,11,30,3
4029,002064,2017-02-22,002064,ODS_PA_0680,2017-01-03,2017-01-03,True,2017,2,22,3,2017,1,3,2,2017,1,3,2
6154,000368,2017-02-20,000368,ODS_PA_0680,2017-01-02,2017-01-02,True,2017,2,20,1,2017,1,2,1,2017,1,2,1
6577,calvin,2017-02-20,calvin,ODS_PA_0680,2017-01-02,2017-01-02,True,2017,2,20,1,2017,1,2,1,2017,1,2,1
7364,002064,2017-02-24,002064,ODS_PA_0680,2017-01-03,2017-01-03,True,2017,2,24,5,2017,1,3,2,2017,1,3,2
12975,000898,2017-03-16,000898,ODS_PA_0680,2017-02-07,2017-02-07,True,2017,3,16,4,2017,2,7,2,2017,2,7,2
12977,000898,2017-03-16,000898,ODS_PA_0680,2017-01-13,2017-01-13,True,2017,3,16,4,2017,1,13,5,2017,1,13,5
13242,000898,2017-03-16,000898,ODS_PA_0680,2017-02-07,2017-02-07,True,2017,3,16,4,2017,2,7,2,2017,2,7,2
13243,000898,2017-03-16,000898,ODS_PA_0680,2017-01-13,2017-01-13,True,2017,3,16,4,2017,1,13,5,2017,1,13,5
13246,000898,2017-03-16,000898,ODS_PA_0680,2017-01-10,2017-01-10,True,2017,3,16,4,2017,1,10,2,2017,1,10,2
13247,000898,2017-03-16,000898,ODS_PA_0680,2017-02-02,2017-02-02,True,2017,3,16,4,2017,2,2,4,2017,2,2,4
24557,002064,2017-04-08,002064,ODS_PA_0680,2017-03-31,2017-03-31,True,2017,4,8,6,2017,3,31,5,2017,3,31,5
