,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4419,000368,2017-03-01,000368,ODS_PA_0691_P,2017-03-01,2017-03-01,True,2017,3,1,3,2017,3,1,3,2017,3,1,3
4420,000368,2017-03-01,000368,ODS_PA_0691_P,2016-12-30,2016-12-30,True,2017,3,1,3,2016,12,30,5,2016,12,30,5
4678,000898,2017-03-07,000898,ODS_PA_0691_P,2017-01-03,2017-01-13,True,2017,3,7,2,2017,1,3,2,2017,1,13,5
4787,000898,2017-03-09,000898,ODS_PA_0691_P,2016-01-01,2017-02-01,True,2017,3,9,4,2016,1,1,5,2017,2,1,3
6078,002064,2017-02-22,002064,ODS_PA_0691_P,2017-01-03,2017-01-03,True,2017,2,22,3,2017,1,3,2,2017,1,3,2
6205,002064,2017-02-09,002064,ODS_PA_0691_P,2016-10-30,2016-12-31,True,2017,2,9,4,2016,10,30,7,2016,12,31,6
7290,002064,2017-02-24,002064,ODS_PA_0691_P,2017-01-03,2017-01-03,True,2017,2,24,5,2017,1,3,2,2017,1,3,2
12675,user2,2017-03-16,user2,ODS_PA_0691_P,2016-10-01,2017-01-01,True,2017,3,16,4,2016,10,1,6,2017,1,1,7
12848,user1,2017-03-16,user1,ODS_PA_0691_P,2017-01-01,2017-03-01,True,2017,3,16,4,2017,1,1,7,2017,3,1,3
12978,000898,2017-03-16,000898,ODS_PA_0691_P,2017-01-01,2017-04-01,True,2017,3,16,4,2017,1,1,7,2017,4,1,6
13244,000898,2017-03-16,000898,ODS_PA_0691_P,2017-01-01,2017-04-01,True,2017,3,16,4,2017,1,1,7,2017,4,1,6
13374,user1,2017-03-16,user1,ODS_PA_0691_P,2017-01-01,2017-03-01,True,2017,3,16,4,2017,1,1,7,2017,3,1,3
13396,user2,2017-03-16,user2,ODS_PA_0691_P,2017-01-01,2017-03-31,True,2017,3,16,4,2017,1,1,7,2017,3,31,5
18469,000368,2017-03-28,000368,ODS_PA_0691_P,2017-02-01,2017-03-31,True,2017,3,28,2,2017,2,1,3,2017,3,31,5
19818,000368,2017-03-28,000368,ODS_PA_0691_P,2017-02-01,2017-03-31,True,2017,3,28,2,2017,2,1,3,2017,3,31,5
26384,000898,2017-04-11,000898,ODS_PA_0691_P,2017-01-01,2017-04-30,True,2017,4,11,2,2017,1,1,7,2017,4,30,7
26385,000898,2017-04-11,000898,ODS_PA_0691_P,2017-03-01,2017-04-30,True,2017,4,11,2,2017,3,1,3,2017,4,30,7
26390,000898,2017-04-11,000898,ODS_PA_0691_P,2017-03-01,2017-03-01,True,2017,4,11,2,2017,3,1,3,2017,3,1,3
26391,000898,2017-04-11,000898,ODS_PA_0691_P,2017-03-01,2017-03-31,True,2017,4,11,2,2017,3,1,3,2017,3,31,5
27668,000898,2017-04-11,000898,ODS_PA_0691_P,2017-01-01,2017-04-30,True,2017,4,11,2,2017,1,1,7,2017,4,30,7
