,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
11535,user4,2017-03-15,user4,ODS_POS_0960,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11812,user4,2017-03-15,user4,ODS_POS_0960,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
12332,000923,2017-03-17,000923,ODS_POS_0960,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12334,000923,2017-03-17,000923,ODS_POS_0960,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
12336,000923,2017-03-17,000923,ODS_POS_0960,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
13160,000923,2017-03-17,000923,ODS_POS_0960,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
13162,000923,2017-03-17,000923,ODS_POS_0960,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
13173,000923,2017-03-17,000923,ODS_POS_0960,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
13174,000923,2017-03-17,000923,ODS_POS_0960,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
13321,user2,2017-03-16,user2,ODS_POS_0960,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
13322,user2,2017-03-16,user2,ODS_POS_0960,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
13325,user2,2017-03-16,user2,ODS_POS_0960,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
13326,user2,2017-03-16,user2,ODS_POS_0960,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
14329,user5,2017-03-20,user5,ODS_POS_0960,,9999-12-31,True,2017,3,20,1,0,0,0,0,0,0,0,0
14330,user5,2017-03-20,user5,ODS_POS_0960,,9999-12-31,True,2017,3,20,1,0,0,0,0,0,0,0,0
17601,000923,2017-03-31,000923,ODS_POS_0960,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
18641,shiang,2017-03-27,shiang,ODS_POS_0960,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
19984,shiang,2017-03-27,shiang,ODS_POS_0960,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
20760,user2,2017-03-28,user2,ODS_POS_0960,,9999-12-31,True,2017,3,28,2,0,0,0,0,0,0,0,0
20761,user2,2017-03-28,user2,ODS_POS_0960,,9999-12-31,True,2017,3,28,2,0,0,0,0,0,0,0,0
23722,user2,2017-04-07,user2,ODS_POS_0960,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
