,username,query_date,report_name,doc,start_date,end_date,is_period
11534,user4,2017-03-15,user4,ODS_POS_0970,,9999-12-31,True
11672,user4,2017-03-15,user4,ODS_POS_0970,,9999-12-31,True
11699,user4,2017-03-15,user4,ODS_POS_0970,,9999-12-31,True
11811,user4,2017-03-15,user4,ODS_POS_0970,,9999-12-31,True
13925,user5,2017-03-20,user5,ODS_POS_0970,,9999-12-31,True
13955,user5,2017-03-20,user5,ODS_POS_0970,,9999-12-31,True
13968,user5,2017-03-20,user5,ODS_POS_0970,,9999-12-31,True
14338,user5,2017-03-20,user5,ODS_POS_0970,,9999-12-31,True
28797,janus,2017-04-17,janus,ODS_POS_0970,,9999-12-31,True
28799,janus,2017-04-17,janus,ODS_POS_0970,,9999-12-31,True
28800,janus,2017-04-17,janus,ODS_POS_0970,,9999-12-31,True
28802,janus,2017-04-17,janus,ODS_POS_0970,,9999-12-31,True
