,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1699,weiting,2017-02-15,weiting,ODS_POS_1350_P,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
1702,weiting,2017-02-15,weiting,ODS_POS_1350_P,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
2697,user5,2017-02-16,user5,ODS_POS_1350_P,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
4486,shiang,2017-03-08,shiang,ODS_POS_1350_P,,9999-12-31,True,2017,3,8,3,0,0,0,0,0,0,0,0
4487,shiang,2017-03-08,shiang,ODS_POS_1350_P,,9999-12-31,True,2017,3,8,3,0,0,0,0,0,0,0,0
5740,shiang,2017-02-10,shiang,ODS_POS_1350_P,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
5742,shiang,2017-02-10,shiang,ODS_POS_1350_P,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
6957,shiang,2017-02-15,shiang,ODS_POS_1350_P,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
6958,shiang,2017-02-15,shiang,ODS_POS_1350_P,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
7074,user5,2017-02-16,user5,ODS_POS_1350_P,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
7075,user5,2017-02-16,user5,ODS_POS_1350_P,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
7149,user3,2017-02-15,user3,ODS_POS_1350_P,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
8022,user2,2017-03-06,user2,ODS_POS_1350_P,,9999-12-31,True,2017,3,6,1,0,0,0,0,0,0,0,0
10009,shiang,2017-03-08,shiang,ODS_POS_1350_P,,9999-12-31,True,2017,3,8,3,0,0,0,0,0,0,0,0
10068,shiang,2017-03-08,shiang,ODS_POS_1350_P,,9999-12-31,True,2017,3,8,3,0,0,0,0,0,0,0,0
10383,user2,2017-03-08,user2,ODS_POS_1350_P,,9999-12-31,True,2017,3,8,3,0,0,0,0,0,0,0,0
11555,dennis,2017-03-15,dennis,ODS_POS_1350_P,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
12064,user3,2017-03-15,user3,ODS_POS_1350_P,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
27505,user19,2017-04-11,user19,ODS_POS_1350_P,,9999-12-31,True,2017,4,11,2,0,0,0,0,0,0,0,0
27665,user19,2017-04-11,user19,ODS_POS_1350_P,,9999-12-31,True,2017,4,11,2,0,0,0,0,0,0,0,0
31198,user1,2017-04-18,user1,ODS_POS_1350_P,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
32132,user2,2017-04-20,user2,ODS_POS_1350_P,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
32137,user2,2017-04-20,user2,ODS_POS_1350_P,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
32138,user2,2017-04-20,user2,ODS_POS_1350_P,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
