,username,query_date,report_name,doc,start_date,end_date,is_period
1152,000802,2017-04-19,000802,ODS_RI_0170,2017-01-31,2017-01-31,True
1153,000802,2017-04-19,000802,ODS_RI_0170,2017-01-03,2017-01-03,True
1154,000802,2017-04-19,000802,ODS_RI_0170,2017-01-03,2017-01-03,True
1516,000802,2017-04-19,000802,ODS_RI_0170,2017-04-30,2017-04-30,True
1517,001340,2017-04-19,001340,ODS_RI_0170,2017-04-30,2017-04-30,True
1520,001340,2017-04-19,001340,ODS_RI_0170,2017-04-30,2017-04-30,True
1521,001340,2017-04-19,001340,ODS_RI_0170,2017-04-30,2017-04-30,True
1523,000257,2017-04-19,000257,ODS_RI_0170,2017-01-03,2017-01-03,True
1524,000802,2017-04-19,000802,ODS_RI_0170,2017-01-03,2017-01-03,True
1531,000802,2017-04-19,000802,ODS_RI_0170,2017-01-31,2017-01-31,True
1532,000802,2017-04-19,000802,ODS_RI_0170,2017-01-31,2017-01-31,True
1533,000802,2017-04-19,000802,ODS_RI_0170,,9999-12-31,True
2766,000802,2017-04-19,000802,ODS_RI_0170,2017-01-03,2017-01-03,True
2780,000802,2017-04-19,000802,ODS_RI_0170,2017-01-03,2017-01-03,True
2797,000802,2017-04-19,000802,ODS_RI_0170,2017-04-30,2017-04-30,True
2799,000802,2017-04-19,000802,ODS_RI_0170,2017-01-03,2017-01-03,True
2800,000257,2017-04-19,000257,ODS_RI_0170,2017-01-31,2017-01-31,True
2801,000802,2017-04-19,000802,ODS_RI_0170,2017-01-31,2017-01-31,True
2803,000257,2017-04-19,000257,ODS_RI_0170,2017-03-31,2017-03-31,True
11978,001340,2017-03-15,001340,ODS_RI_0170,2017-02-02,2017-02-02,True
12963,001698,2017-03-16,001698,ODS_RI_0170,2017-03-01,2017-03-01,True
13231,001698,2017-03-16,001698,ODS_RI_0170,2017-02-02,2017-02-02,True
13340,001698,2017-03-16,001698,ODS_RI_0170,2017-02-24,2017-02-24,True
13341,001698,2017-03-16,001698,ODS_RI_0170,2017-02-24,2017-02-24,True
13345,001698,2017-03-16,001698,ODS_RI_0170,2017-01-03,2017-01-03,True
14784,001340,2017-03-23,001340,ODS_RI_0170,2017-02-28,2017-02-28,True
14785,001340,2017-03-23,001340,ODS_RI_0170,2017-02-28,2017-02-28,True
14786,001340,2017-03-23,001340,ODS_RI_0170,2017-02-28,2017-02-28,True
17750,001698,2017-03-30,001698,ODS_RI_0170,2017-03-31,2017-03-31,True
17751,001698,2017-03-30,001698,ODS_RI_0170,2017-02-28,2017-02-28,True
17841,001698,2017-03-30,001698,ODS_RI_0170,2017-02-28,2017-02-28,True
17842,001698,2017-03-30,001698,ODS_RI_0170,2017-02-28,2017-02-28,True
30462,000802,2017-04-19,000802,ODS_RI_0170,2017-04-30,2017-04-30,True
31684,000802,2017-04-19,000802,ODS_RI_0170,2017-01-10,2017-01-10,True
31745,000802,2017-04-19,000802,ODS_RI_0170,2017-01-31,2017-01-31,True
31827,001698,2017-04-20,001698,ODS_RI_0170,2017-03-31,2017-03-31,True
31828,001698,2017-04-20,001698,ODS_RI_0170,2017-05-31,2017-05-31,True
31829,001698,2017-04-20,001698,ODS_RI_0170,2017-04-30,2017-04-30,True
31830,001698,2017-04-20,001698,ODS_RI_0170,2017-03-31,2017-03-31,True
32208,001698,2017-04-20,001698,ODS_RI_0170,2017-05-31,2017-05-31,True
