,username,query_date,report_name,doc,start_date,end_date,is_period
29080,000443,2017-04-17,000443,ODS_SC_6000_E,2017-01-20,2017-01-20,True
29403,000443,2017-04-17,000443,ODS_SC_6000_E,2017-04-08,2017-04-08,True
29409,000443,2017-04-17,000443,ODS_SC_6000_E,2017-01-31,2017-01-31,True
29410,000443,2017-04-17,000443,ODS_SC_6000_E,2017-01-31,2017-01-31,True
29444,000443,2017-04-14,000443,ODS_SC_6000_E,2017-03-31,2017-03-31,True
29445,000443,2017-04-14,000443,ODS_SC_6000_E,2017-03-31,2017-03-31,True
29785,000443,2017-04-17,000443,ODS_SC_6000_E,2017-01-31,2017-01-31,True
29792,000443,2017-04-17,000443,ODS_SC_6000_E,2017-01-31,2017-01-31,True
29793,000443,2017-04-17,000443,ODS_SC_6000_E,2017-01-31,2017-01-31,True
29863,000443,2017-04-13,000443,ODS_SC_6000_E,2017-03-31,2017-03-31,True
29864,000443,2017-04-13,000443,ODS_SC_6000_E,2017-03-31,2017-03-31,True
29865,000443,2017-04-13,000443,ODS_SC_6000_E,2017-03-10,2017-03-10,True
29866,000443,2017-04-13,000443,ODS_SC_6000_E,2017-03-10,2017-03-10,True
29867,000443,2017-04-13,000443,ODS_SC_6000_E,2017-01-30,2017-01-30,True
31194,000443,2017-04-18,000443,ODS_SC_6000_E,2017-04-21,2017-04-21,True
31195,000443,2017-04-18,000443,ODS_SC_6000_E,2017-04-30,2017-04-30,True
