,username,query_date,report_name,doc,start_date,end_date,is_period
1692,000358,2017-02-14,000358,ODS_SC_6210,,2017-02-01,True
2902,ricky,2017-02-18,ricky,ODS_SC_6210,2017-01-02,2017-01-02,True
4106,yusiang,2017-02-23,yusiang,ODS_SC_6210,2017-02-20,2017-02-20,True
4442,001308,2017-03-08,001308,ODS_SC_6210,2017-02-28,2017-02-28,True
4809,000358,2017-03-08,000358,ODS_SC_6210,2017-02-20,2017-02-20,True
5308,user4,2017-02-23,user4,ODS_SC_6210,2017-01-03,2017-01-03,True
7235,user4,2017-02-23,user4,ODS_SC_6210,2017-01-03,2017-01-03,True
9958,yusiang,2017-03-08,yusiang,ODS_SC_6210,2017-02-20,2017-02-20,True
10031,000358,2017-03-08,000358,ODS_SC_6210,2017-02-20,2017-02-20,True
10354,000358,2017-03-08,000358,ODS_SC_6210,2017-02-20,2017-02-20,True
10899,001308,2017-03-14,001308,ODS_SC_6210,2017-02-28,2017-02-28,True
12219,001308,2017-03-14,001308,ODS_SC_6210,2017-02-28,2017-02-28,True
12503,001308,2017-03-18,001308,ODS_SC_6210,2017-02-28,2017-02-28,True
12511,001308,2017-03-18,001308,ODS_SC_6210,2017-02-28,2017-02-28,True
12512,001308,2017-03-18,001308,ODS_SC_6210,2017-02-28,2017-02-28,True
12513,001308,2017-03-18,001308,ODS_SC_6210,2017-02-28,2017-02-28,True
13042,001308,2017-03-16,001308,ODS_SC_6210,2017-02-28,2017-02-28,True
13043,001308,2017-03-16,001308,ODS_SC_6210,2017-02-28,2017-02-28,True
17590,001308,2017-03-28,001308,ODS_SC_6210,2017-03-01,2017-03-01,True
17592,001308,2017-03-28,001308,ODS_SC_6210,2017-03-01,2017-03-01,True
18315,user4,2017-03-29,user4,ODS_SC_6210,2017-03-01,2017-03-01,True
19136,000551,2017-03-27,000551,ODS_SC_6210,2017-03-01,2017-03-01,True
19730,000358,2017-03-30,000358,ODS_SC_6210,2017-03-01,2017-03-01,True
23728,jessie,2017-04-07,jessie,ODS_SC_6210,2017-03-31,2017-03-31,True
25790,001308,2017-04-08,001308,ODS_SC_6210,2017-03-31,2017-03-31,True
26285,001231,2017-04-11,001231,ODS_SC_6210,2017-04-05,2017-04-05,True
26321,jessie,2017-04-11,jessie,ODS_SC_6210,2017-03-01,2017-03-01,True
26401,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
26592,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
26597,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
26613,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
26621,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
27405,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
28133,jessie,2017-04-15,jessie,ODS_SC_6210,2017-04-05,2017-04-05,True
28573,dennis,2017-04-15,dennis,ODS_SC_6210,2017-04-05,2017-04-05,True
29358,001308,2017-04-14,001308,ODS_SC_6210,2017-04-30,2017-04-30,True
29361,001308,2017-04-14,001308,ODS_SC_6210,2017-04-30,2017-04-30,True
29362,001308,2017-04-14,001308,ODS_SC_6210,2017-02-28,2017-02-28,True
30260,dennis,2017-04-15,dennis,ODS_SC_6210,2017-04-05,2017-04-05,True
31104,jessie,2017-04-18,jessie,ODS_SC_6210,2017-04-30,2017-04-30,True
