,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
12,001751,2017-02-10,001751,ODS_UNB_0680,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
13,NBJENIA,2017-02-10,NBJENIA,ODS_UNB_0680,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
237,NBJENIA,2017-02-10,NBJENIA,ODS_UNB_0680,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
6839,shiang,2017-02-20,shiang,ODS_UNB_0680,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
8309,user1,2017-03-02,user1,ODS_UNB_0680,,9999-12-31,True,2017,3,2,4,0,0,0,0,0,0,0,0
8519,user3,2017-03-10,user3,ODS_UNB_0680,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
8520,user3,2017-03-10,user3,ODS_UNB_0680,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
8521,user3,2017-03-10,user3,ODS_UNB_0680,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
8639,user3,2017-03-10,user3,ODS_UNB_0680,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
8644,user3,2017-03-10,user3,ODS_UNB_0680,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
8645,user2,2017-03-10,user2,ODS_UNB_0680,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
8646,user2,2017-03-10,user2,ODS_UNB_0680,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
8647,user2,2017-03-10,user2,ODS_UNB_0680,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
