,username,query_date,report_name,doc,start_date,end_date,is_period
3704,shiang,2017-02-20,shiang,ODS_UNB_0690,,9999-12-31,True
3753,ricky,2017-02-21,ricky,ODS_UNB_0690,,9999-12-31,True
3754,ricky,2017-02-21,ricky,ODS_UNB_0690,,9999-12-31,True
4011,ricky,2017-02-21,ricky,ODS_UNB_0690,,9999-12-31,True
4012,ricky,2017-02-21,ricky,ODS_UNB_0690,,9999-12-31,True
4013,ricky,2017-02-21,ricky,ODS_UNB_0690,,9999-12-31,True
6840,shiang,2017-02-20,shiang,ODS_UNB_0690,,9999-12-31,True
6885,shiang,2017-02-20,shiang,ODS_UNB_0690,,9999-12-31,True
22486,user1,2017-04-04,user1,ODS_UNB_0690,,9999-12-31,True
23086,user1,2017-04-05,user1,ODS_UNB_0690,,9999-12-31,True
24539,001751,2017-04-08,001751,ODS_UNB_0690,,9999-12-31,True
25921,001751,2017-04-08,001751,ODS_UNB_0690,,9999-12-31,True
28142,001751,2017-04-14,001751,ODS_UNB_0690,,9999-12-31,True
29856,001751,2017-04-13,001751,ODS_UNB_0690,,9999-12-31,True
29857,001751,2017-04-13,001751,ODS_UNB_0690,,9999-12-31,True
29858,001751,2017-04-13,001751,ODS_UNB_0690,,9999-12-31,True
30217,001751,2017-04-13,001751,ODS_UNB_0690,,9999-12-31,True
