,username,query_date,report_name,doc,start_date,end_date,is_period
17725,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
17727,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
18037,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
18038,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
18039,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
18040,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
18041,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
18042,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
18189,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
18190,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
19771,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
19772,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
19773,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20119,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20120,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20121,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20122,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20123,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20124,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20125,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20126,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20128,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20129,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20130,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20131,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20133,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20134,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20135,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20138,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20139,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20140,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20141,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20142,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20143,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20144,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20182,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
20183,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True
21511,yusiang,2017-04-06,yusiang,SAMPLE_01,,9999-12-31,True
21703,yusiang,2017-04-06,yusiang,SAMPLE_01,,9999-12-31,True
22367,yusiang,2017-04-06,yusiang,SAMPLE_01,,9999-12-31,True
22971,yusiang,2017-04-10,yusiang,SAMPLE_01,,9999-12-31,True
22992,yusiang,2017-04-06,yusiang,SAMPLE_01,,9999-12-31,True
23300,yusiang,2017-04-07,yusiang,SAMPLE_01,,9999-12-31,True
23301,yusiang,2017-04-07,yusiang,SAMPLE_01,,9999-12-31,True
23312,yusiang,2017-04-07,yusiang,SAMPLE_01,,9999-12-31,True
23445,yusiang,2017-04-07,yusiang,SAMPLE_01,,9999-12-31,True
23446,yusiang,2017-04-07,yusiang,SAMPLE_01,,9999-12-31,True
23447,yusiang,2017-04-07,yusiang,SAMPLE_01,,9999-12-31,True
23629,yusiang,2017-04-07,yusiang,SAMPLE_01,,9999-12-31,True
23630,yusiang,2017-04-07,yusiang,SAMPLE_01,,9999-12-31,True
24163,yusiang,2017-04-06,yusiang,SAMPLE_01,,9999-12-31,True
24357,yusiang,2017-04-06,yusiang,SAMPLE_01,,9999-12-31,True
24447,yusiang,2017-04-06,yusiang,SAMPLE_01,,9999-12-31,True
24464,yusiang,2017-04-06,yusiang,SAMPLE_01,,9999-12-31,True
25031,yusiang,2017-04-07,yusiang,SAMPLE_01,,9999-12-31,True
25032,yusiang,2017-04-07,yusiang,SAMPLE_01,,9999-12-31,True
25536,yusiang,2017-04-07,yusiang,SAMPLE_01,,9999-12-31,True
25609,yusiang,2017-04-07,yusiang,SAMPLE_01,,9999-12-31,True
26273,yusiang,2017-04-10,yusiang,SAMPLE_01,,9999-12-31,True
26650,yusiang,2017-04-10,yusiang,SAMPLE_01,,9999-12-31,True
26882,yusiang,2017-04-10,yusiang,SAMPLE_01,,9999-12-31,True
26901,yusiang,2017-04-10,yusiang,SAMPLE_01,,9999-12-31,True
26962,yusiang,2017-04-10,yusiang,SAMPLE_01,,9999-12-31,True
