,username,query_date,report_name,doc,start_date,end_date,is_period
4702,mPOS,2017-03-08,mPOS,report001,,,True
11980,mPOS,2017-03-15,mPOS,report001,,,True
12076,mPOS,2017-03-15,mPOS,report001,,,True
12077,mPOS,2017-03-15,mPOS,report001,,,True
12080,mPOS,2017-03-15,mPOS,report001,,,True
12098,mPOS,2017-03-15,mPOS,report001,,,True
12113,mPOS,2017-03-15,mPOS,report001,,,True
12126,mPOS,2017-03-15,mPOS,report001,,,True
12127,mPOS,2017-03-15,mPOS,report001,,,True
12128,mPOS,2017-03-15,mPOS,report001,,,True
12129,mPOS,2017-03-15,mPOS,report001,,,True
12130,mPOS,2017-03-15,mPOS,report001,,,True
12131,mPOS,2017-03-15,mPOS,report001,,,True
12132,mPOS,2017-03-15,mPOS,report001,,,True
12133,mPOS,2017-03-15,mPOS,report001,,,True
12144,mPOS,2017-03-15,mPOS,report001,,,True
12228,mPOS,2017-03-16,mPOS,report001,,,True
12259,mPOS,2017-03-17,mPOS,report001,,,True
12262,mPOS,2017-03-17,mPOS,report001,,,True
12263,mPOS,2017-03-17,mPOS,report001,,,True
12264,mPOS,2017-03-17,mPOS,report001,,,True
12298,mPOS,2017-03-17,mPOS,report001,,,True
12299,mPOS,2017-03-17,mPOS,report001,,,True
12300,mPOS,2017-03-17,mPOS,report001,,,True
12301,mPOS,2017-03-17,mPOS,report001,,,True
12302,mPOS,2017-03-17,mPOS,report001,,,True
12303,mPOS,2017-03-17,mPOS,report001,,,True
12304,mPOS,2017-03-17,mPOS,report001,,,True
12307,mPOS,2017-03-17,mPOS,report001,,,True
12308,mPOS,2017-03-17,mPOS,report001,,,True
12309,mPOS,2017-03-17,mPOS,report001,,,True
12313,mPOS,2017-03-17,mPOS,report001,,,True
12314,mPOS,2017-03-17,mPOS,report001,,,True
12315,mPOS,2017-03-17,mPOS,report001,,,True
12316,mPOS,2017-03-17,mPOS,report001,,,True
12317,mPOS,2017-03-17,mPOS,report001,,,True
12318,mPOS,2017-03-17,mPOS,report001,,,True
12319,mPOS,2017-03-17,mPOS,report001,,,True
12320,mPOS,2017-03-17,mPOS,report001,,,True
12321,mPOS,2017-03-17,mPOS,report001,,,True
12322,mPOS,2017-03-17,mPOS,report001,,,True
12323,mPOS,2017-03-17,mPOS,report001,,,True
12324,mPOS,2017-03-17,mPOS,report001,,,True
12325,mPOS,2017-03-17,mPOS,report001,,,True
12326,mPOS,2017-03-17,mPOS,report001,,,True
12327,mPOS,2017-03-17,mPOS,report001,,,True
12328,mPOS,2017-03-17,mPOS,report001,,,True
12331,mPOS,2017-03-17,mPOS,report001,,,True
12333,mPOS,2017-03-17,mPOS,report001,,,True
12352,mPOS,2017-03-17,mPOS,report001,,,True
12353,mPOS,2017-03-17,mPOS,report001,,,True
12439,mPOS,2017-03-17,mPOS,report001,,,True
12524,mPOS,2017-03-17,mPOS,report001,,,True
12525,mPOS,2017-03-17,mPOS,report001,,,True
12527,mPOS,2017-03-17,mPOS,report001,,,True
12528,mPOS,2017-03-17,mPOS,report001,,,True
12533,mPOS,2017-03-17,mPOS,report001,,,True
12534,mPOS,2017-03-17,mPOS,report001,,,True
12535,mPOS,2017-03-17,mPOS,report001,,,True
12536,mPOS,2017-03-17,mPOS,report001,,,True
12537,mPOS,2017-03-17,mPOS,report001,,,True
12538,mPOS,2017-03-17,mPOS,report001,,,True
12544,mPOS,2017-03-17,mPOS,report001,,,True
12545,mPOS,2017-03-17,mPOS,report001,,,True
12546,mPOS,2017-03-17,mPOS,report001,,,True
12547,mPOS,2017-03-17,mPOS,report001,,,True
12548,mPOS,2017-03-17,mPOS,report001,,,True
12550,mPOS,2017-03-17,mPOS,report001,,,True
12551,mPOS,2017-03-17,mPOS,report001,,,True
12606,mPOS,2017-03-17,mPOS,report001,,,True
12607,mPOS,2017-03-17,mPOS,report001,,,True
12608,mPOS,2017-03-17,mPOS,report001,,,True
12612,mPOS,2017-03-17,mPOS,report001,,,True
12613,mPOS,2017-03-17,mPOS,report001,,,True
12614,mPOS,2017-03-17,mPOS,report001,,,True
12615,mPOS,2017-03-17,mPOS,report001,,,True
12618,mPOS,2017-03-17,mPOS,report001,,,True
12619,mPOS,2017-03-17,mPOS,report001,,,True
12620,mPOS,2017-03-17,mPOS,report001,,,True
12621,mPOS,2017-03-17,mPOS,report001,,,True
12623,mPOS,2017-03-17,mPOS,report001,,,True
12626,mPOS,2017-03-17,mPOS,report001,,,True
12627,mPOS,2017-03-17,mPOS,report001,,,True
12629,mPOS,2017-03-17,mPOS,report001,,,True
12630,mPOS,2017-03-17,mPOS,report001,,,True
12631,mPOS,2017-03-17,mPOS,report001,,,True
12632,mPOS,2017-03-17,mPOS,report001,,,True
12636,mPOS,2017-03-17,mPOS,report001,,,True
12650,mPOS,2017-03-17,mPOS,report001,,,True
12651,mPOS,2017-03-17,mPOS,report001,,,True
12652,mPOS,2017-03-17,mPOS,report001,,,True
12653,mPOS,2017-03-17,mPOS,report001,,,True
12654,mPOS,2017-03-17,mPOS,report001,,,True
12655,mPOS,2017-03-17,mPOS,report001,,,True
12656,mPOS,2017-03-17,mPOS,report001,,,True
12657,mPOS,2017-03-17,mPOS,report001,,,True
12660,mPOS,2017-03-17,mPOS,report001,,,True
12661,mPOS,2017-03-17,mPOS,report001,,,True
12664,mPOS,2017-03-17,mPOS,report001,,,True
12665,mPOS,2017-03-17,mPOS,report001,,,True
12666,mPOS,2017-03-17,mPOS,report001,,,True
12667,mPOS,2017-03-17,mPOS,report001,,,True
12668,mPOS,2017-03-17,mPOS,report001,,,True
12669,mPOS,2017-03-17,mPOS,report001,,,True
12755,mPOS,2017-03-17,mPOS,report001,,,True
12756,mPOS,2017-03-17,mPOS,report001,,,True
12757,mPOS,2017-03-17,mPOS,report001,,,True
12758,mPOS,2017-03-17,mPOS,report001,,,True
12907,mPOS,2017-03-16,mPOS,report001,,,True
12953,mPOS,2017-03-16,mPOS,report001,,,True
12954,mPOS,2017-03-16,mPOS,report001,,,True
12955,mPOS,2017-03-16,mPOS,report001,,,True
12957,mPOS,2017-03-16,mPOS,report001,,,True
13030,mPOS,2017-03-16,mPOS,report001,,,True
13146,mPOS,2017-03-17,mPOS,report001,,,True
13147,mPOS,2017-03-16,mPOS,report001,,,True
13148,mPOS,2017-03-16,mPOS,report001,,,True
13151,mPOS,2017-03-17,mPOS,report001,,,True
13152,mPOS,2017-03-17,mPOS,report001,,,True
13153,mPOS,2017-03-17,mPOS,report001,,,True
13154,mPOS,2017-03-17,mPOS,report001,,,True
13155,mPOS,2017-03-17,mPOS,report001,,,True
13157,mPOS,2017-03-17,mPOS,report001,,,True
13158,mPOS,2017-03-17,mPOS,report001,,,True
13159,mPOS,2017-03-17,mPOS,report001,,,True
13161,mPOS,2017-03-17,mPOS,report001,,,True
13172,mPOS,2017-03-17,mPOS,report001,,,True
13176,mPOS,2017-03-17,mPOS,report001,,,True
13181,mPOS,2017-03-16,mPOS,report001,,,True
13182,mPOS,2017-03-16,mPOS,report001,,,True
13183,mPOS,2017-03-16,mPOS,report001,,,True
13205,mPOS,2017-03-16,mPOS,report001,,,True
13206,mPOS,2017-03-16,mPOS,report001,,,True
13207,mPOS,2017-03-16,mPOS,report001,,,True
13212,mPOS,2017-03-16,mPOS,report001,,,True
13217,mPOS,2017-03-16,mPOS,report001,,,True
13221,mPOS,2017-03-16,mPOS,report001,,,True
13260,mPOS,2017-03-16,mPOS,report001,,,True
13262,mPOS,2017-03-16,mPOS,report001,,,True
13263,mPOS,2017-03-16,mPOS,report001,,,True
13264,mPOS,2017-03-16,mPOS,report001,,,True
13301,mPOS,2017-03-16,mPOS,report001,,,True
13342,mPOS,2017-03-16,mPOS,report001,,,True
13343,mPOS,2017-03-16,mPOS,report001,,,True
13344,mPOS,2017-03-16,mPOS,report001,,,True
13363,mPOS,2017-03-16,mPOS,report001,,,True
13365,mPOS,2017-03-16,mPOS,report001,,,True
13366,mPOS,2017-03-16,mPOS,report001,,,True
13375,mPOS,2017-03-16,mPOS,report001,,,True
13376,mPOS,2017-03-16,mPOS,report001,,,True
13380,mPOS,2017-03-16,mPOS,report001,,,True
13381,mPOS,2017-03-16,mPOS,report001,,,True
13382,mPOS,2017-03-16,mPOS,report001,,,True
13383,mPOS,2017-03-16,mPOS,report001,,,True
13385,mPOS,2017-03-16,mPOS,report001,,,True
13386,mPOS,2017-03-16,mPOS,report001,,,True
13387,mPOS,2017-03-16,mPOS,report001,,,True
13398,mPOS,2017-03-16,mPOS,report001,,,True
13399,mPOS,2017-03-16,mPOS,report001,,,True
13401,mPOS,2017-03-16,mPOS,report001,,,True
13485,mPOS,2017-03-17,mPOS,report001,,,True
13486,mPOS,2017-03-17,mPOS,report001,,,True
13488,mPOS,2017-03-17,mPOS,report001,,,True
13489,mPOS,2017-03-17,mPOS,report001,,,True
13495,mPOS,2017-03-17,mPOS,report001,,,True
13513,mPOS,2017-03-17,mPOS,report001,,,True
13514,mPOS,2017-03-17,mPOS,report001,,,True
13532,mPOS,2017-03-16,mPOS,report001,,,True
13533,mPOS,2017-03-16,mPOS,report001,,,True
13534,mPOS,2017-03-16,mPOS,report001,,,True
13542,mPOS,2017-03-16,mPOS,report001,,,True
13571,mPOS,2017-03-20,mPOS,report001,,,True
13572,mPOS,2017-03-20,mPOS,report001,,,True
13573,mPOS,2017-03-20,mPOS,report001,,,True
13574,mPOS,2017-03-20,mPOS,report001,,,True
13576,mPOS,2017-03-20,mPOS,report001,,,True
13578,mPOS,2017-03-20,mPOS,report001,,,True
13579,mPOS,2017-03-20,mPOS,report001,,,True
13580,mPOS,2017-03-20,mPOS,report001,,,True
13581,mPOS,2017-03-20,mPOS,report001,,,True
13582,mPOS,2017-03-20,mPOS,report001,,,True
13583,mPOS,2017-03-20,mPOS,report001,,,True
13584,mPOS,2017-03-20,mPOS,report001,,,True
13585,mPOS,2017-03-20,mPOS,report001,,,True
13598,mPOS,2017-03-20,mPOS,report001,,,True
13599,mPOS,2017-03-20,mPOS,report001,,,True
13600,mPOS,2017-03-20,mPOS,report001,,,True
13602,mPOS,2017-03-20,mPOS,report001,,,True
13603,mPOS,2017-03-20,mPOS,report001,,,True
13604,mPOS,2017-03-20,mPOS,report001,,,True
13605,mPOS,2017-03-20,mPOS,report001,,,True
13606,mPOS,2017-03-20,mPOS,report001,,,True
13607,mPOS,2017-03-20,mPOS,report001,,,True
13608,mPOS,2017-03-20,mPOS,report001,,,True
13611,mPOS,2017-03-20,mPOS,report001,,,True
13716,mPOS,2017-03-20,mPOS,report001,,,True
13719,mPOS,2017-03-20,mPOS,report001,,,True
13752,mPOS,2017-03-20,mPOS,report001,,,True
13753,mPOS,2017-03-20,mPOS,report001,,,True
13754,mPOS,2017-03-20,mPOS,report001,,,True
13794,mPOS,2017-03-20,mPOS,report001,,,True
13798,mPOS,2017-03-20,mPOS,report001,,,True
13799,mPOS,2017-03-20,mPOS,report001,,,True
13800,mPOS,2017-03-20,mPOS,report001,,,True
13803,mPOS,2017-03-20,mPOS,report001,,,True
13806,mPOS,2017-03-20,mPOS,report001,,,True
13807,mPOS,2017-03-20,mPOS,report001,,,True
13814,mPOS,2017-03-20,mPOS,report001,,,True
13815,mPOS,2017-03-20,mPOS,report001,,,True
13816,mPOS,2017-03-20,mPOS,report001,,,True
13821,mPOS,2017-03-20,mPOS,report001,,,True
13822,mPOS,2017-03-20,mPOS,report001,,,True
13823,mPOS,2017-03-20,mPOS,report001,,,True
13824,mPOS,2017-03-20,mPOS,report001,,,True
13842,mPOS,2017-03-20,mPOS,report001,,,True
13843,mPOS,2017-03-20,mPOS,report001,,,True
