mPOS,19206
CSIS-SIT3,1900
user1,865
user4,667
000442,623
roxana,611
user2,525
CSIS,489
user18,466
yusiang,382
user3,341
user5,335
shiang,330
000768,308
001415,281
002064,258
000358,239
000898,224
000368,212
ricky,206
user10,206
000923,195
calvin,171
000316,161
user6,144
000279,118
user11,118
user8,111
jesse,111
000718,105
000868,104
user19,103
002266,99
esp.admin,95
001713,88
user15,79
001076,75
001308,75
001980,72
user7,68
000219,64
001867,64
dennis,63
000761,56
user12,56
000124,54
user13,54
jimmy,53
000232,51
000443,51
user14,50
000791,50
000802,47
weiting,46
002178,44
jessie,44
000759,42
000598,40
001340,40
001751,34
user9,33
001689,31
001231,28
001129,28
001698,27
000166,26
001039,26
user20,25
001332,25
001993,25
001383,22
001414,21
CSIS-R5,20
user16,19
001883,17
AGYYEE,16
001416,14
000217,13
invdaphne,13
test,12
NBJENIA,12
LIFE,10
janus,9
000323,8
000551,8
000270,8
allencha,7
000622,6
001420,6
CFtestUser,5
user17,5
Cheng,5
001726,4
001158,4
yenchin,3
001735,3
000257,3
001101,3
EVOICE,2
000606,1
001336,1
