,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1230,000219,2017-02-14,000219,ODS_PA_0550_P,2016-11-30,2016-11-30,True,2017,2,14,2,2016,11,30,3,2016,11,30,3
1232,000219,2017-02-14,000219,ODS_PA_0270,2016-01-01,2016-01-01,True,2017,2,14,2,2016,1,1,5,2016,1,1,5
1233,000219,2017-02-14,000219,ODS_PA_0270,2016-11-30,2016-11-30,True,2017,2,14,2,2016,11,30,3,2016,11,30,3
1259,000219,2017-02-14,000219,ODS_PA_0270,2016-11-30,2016-11-30,True,2017,2,14,2,2016,11,30,3,2016,11,30,3
1261,000219,2017-02-14,000219,ODS_PA_0270,2016-11-30,2016-11-30,True,2017,2,14,2,2016,11,30,3,2016,11,30,3
4026,000219,2017-02-22,000219,ODS_PA_0270,2017-01-03,2017-01-03,True,2017,2,22,3,2017,1,3,2,2017,1,3,2
4695,000219,2017-03-07,000219,ODS_PA_0270,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
4696,000219,2017-03-07,000219,ODS_PA_0270,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
4789,000219,2017-03-09,000219,ODS_PA_0270,2016-01-03,2016-01-03,True,2017,3,9,4,2016,1,3,7,2016,1,3,7
4790,000219,2017-03-09,000219,ODS_PA_0270,2016-01-13,2016-01-13,True,2017,3,9,4,2016,1,13,3,2016,1,13,3
4794,000219,2017-03-09,000219,ODS_PA_0270,2016-01-03,2016-01-03,True,2017,3,9,4,2016,1,3,7,2016,1,3,7
4795,000219,2017-03-09,000219,ODS_PA_0270,2016-01-03,2016-01-03,True,2017,3,9,4,2016,1,3,7,2016,1,3,7
4796,000219,2017-03-09,000219,ODS_PA_0270,2016-01-03,2016-01-03,True,2017,3,9,4,2016,1,3,7,2016,1,3,7
4913,000219,2017-03-10,000219,FMT_PA_0730,2017-01-26,2017-01-26,True,2017,3,10,5,2017,1,26,4,2017,1,26,4
4914,000219,2017-03-10,000219,FMT_PA_0770,2017-01-26,2017-01-26,True,2017,3,10,5,2017,1,26,4,2017,1,26,4
5243,000219,2017-03-10,000219,FMT_PA_0750,2017-01-13,2017-01-13,True,2017,3,10,5,2017,1,13,5,2017,1,13,5
5244,000219,2017-03-10,000219,FMT_PA_0730,2017-01-13,2017-01-13,True,2017,3,10,5,2017,1,13,5,2017,1,13,5
5453,000219,2017-03-10,000219,FMT_PA_0770,2017-01-26,2017-01-26,True,2017,3,10,5,2017,1,26,4,2017,1,26,4
5801,000219,2017-03-09,000219,ODS_PA_0270,2016-01-13,2016-01-13,True,2017,3,9,4,2016,1,13,3,2016,1,13,3
5802,000219,2017-03-09,000219,ODS_PA_0270,2016-01-03,2016-01-03,True,2017,3,9,4,2016,1,3,7,2016,1,3,7
6050,000219,2017-02-22,000219,ODS_PA_0270,2016-01-03,2016-01-03,True,2017,2,22,3,2016,1,3,7,2016,1,3,7
