,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1438,000279,2017-04-19,000279,FMT_PA_0710,2017-03-01,2017-04-30,True,2017,4,19,3,2017,3,1,3,2017,4,30,7
10567,000279,2017-04-12,000279,FMT_PA_0710,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
11332,000279,2017-04-12,000279,FMT_PA_0710,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
12250,000279,2017-03-17,000279,FMT_PA_0710,2017-01-26,2017-02-27,True,2017,3,17,5,2017,1,26,4,2017,2,27,1
12257,000279,2017-03-16,000279,FMT_PA_0710,2017-01-02,2017-02-28,True,2017,3,16,4,2017,1,2,1,2017,2,28,2
12901,000279,2017-03-16,000279,FMT_PA_0710,2017-01-02,2017-02-28,True,2017,3,16,4,2017,1,2,1,2017,2,28,2
12902,000279,2017-03-16,000279,FMT_PA_0710,2017-01-02,2017-02-28,True,2017,3,16,4,2017,1,2,1,2017,2,28,2
12903,000279,2017-03-16,000279,FMT_PA_0710,2017-01-02,2017-02-28,True,2017,3,16,4,2017,1,2,1,2017,2,28,2
12912,000279,2017-03-16,000279,FMT_PA_0710,2017-01-02,2017-02-28,True,2017,3,16,4,2017,1,2,1,2017,2,28,2
12916,000279,2017-03-16,000279,FMT_PA_0710,2017-01-02,2017-02-28,True,2017,3,16,4,2017,1,2,1,2017,2,28,2
12948,000279,2017-03-16,000279,FMT_PA_0710,2017-01-02,2017-02-28,True,2017,3,16,4,2017,1,2,1,2017,2,28,2
13129,000279,2017-03-17,000279,FMT_PA_0710,2017-01-26,2017-02-27,True,2017,3,17,5,2017,1,26,4,2017,2,27,1
13196,000279,2017-03-16,000279,FMT_PA_0710,2017-01-02,2017-03-27,True,2017,3,16,4,2017,1,2,1,2017,3,27,1
14399,000279,2017-04-12,000279,FMT_PA_0710,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
14401,000279,2017-04-12,000279,FMT_PA_0710,2017-04-05,2017-04-05,True,2017,4,12,3,2017,4,5,3,2017,4,5,3
14403,000279,2017-04-12,000279,FMT_PA_0710,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26666,000279,2017-04-12,000279,FMT_PA_0710,2017-02-02,2017-04-30,True,2017,4,12,3,2017,2,2,4,2017,4,30,7
26667,000279,2017-04-12,000279,FMT_PA_0710,2017-02-02,2017-04-30,True,2017,4,12,3,2017,2,2,4,2017,4,30,7
26827,000279,2017-04-12,000279,FMT_PA_0710,2017-02-02,2017-04-30,True,2017,4,12,3,2017,2,2,4,2017,4,30,7
27669,000279,2017-04-12,000279,FMT_PA_0710,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27670,000279,2017-04-12,000279,FMT_PA_0710,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27671,000279,2017-04-12,000279,FMT_PA_0710,2017-02-27,2017-04-30,True,2017,4,12,3,2017,2,27,1,2017,4,30,7
30210,000279,2017-04-13,000279,FMT_PA_0710,2017-04-05,2017-04-05,True,2017,4,13,4,2017,4,5,3,2017,4,5,3
30239,000279,2017-04-17,000279,FMT_PA_0710,2017-04-30,2017-04-30,True,2017,4,17,1,2017,4,30,7,2017,4,30,7
30240,000279,2017-04-17,000279,FMT_PA_0710,2017-04-05,2017-04-30,True,2017,4,17,1,2017,4,5,3,2017,4,30,7
