,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1080,000316,2017-02-10,000316,ODS_INV_7230,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
5286,000316,2017-03-10,000316,ODS_INV_7230,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
5394,000316,2017-02-10,000316,ODS_INV_7230,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
5395,000316,2017-02-10,000316,ODS_INV_7230,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
5396,000316,2017-02-10,000316,ODS_INV_7230,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
5657,000316,2017-02-10,000316,ODS_INV_7230,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
5658,000316,2017-02-10,000316,ODS_INV_7230,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
5659,000316,2017-02-10,000316,ODS_INV_7230,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
5661,000316,2017-02-10,000316,ODS_INV_7230,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
5662,000316,2017-02-10,000316,ODS_INV_7230,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
5697,000316,2017-02-10,000316,ODS_INV_7230,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
5698,000316,2017-02-10,000316,ODS_INV_7230,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
7425,000316,2017-03-06,000316,ODS_INV_7230,,9999-12-31,True,2017,3,6,1,0,0,0,0,0,0,0,0
7426,000316,2017-03-06,000316,ODS_INV_7230,,9999-12-31,True,2017,3,6,1,0,0,0,0,0,0,0,0
7437,000316,2017-03-06,000316,ODS_INV_7230,,9999-12-31,True,2017,3,6,1,0,0,0,0,0,0,0,0
7666,000316,2017-03-06,000316,ODS_INV_7230,,9999-12-31,True,2017,3,6,1,0,0,0,0,0,0,0,0
7669,000316,2017-03-06,000316,ODS_INV_7230,,9999-12-31,True,2017,3,6,1,0,0,0,0,0,0,0,0
7670,000316,2017-03-06,000316,ODS_INV_7230,,9999-12-31,True,2017,3,6,1,0,0,0,0,0,0,0,0
7682,000316,2017-03-06,000316,ODS_INV_7230,,9999-12-31,True,2017,3,6,1,0,0,0,0,0,0,0,0
9427,000316,2017-03-09,000316,ODS_INV_7230,,9999-12-31,True,2017,3,9,4,0,0,0,0,0,0,0,0
9430,000316,2017-03-09,000316,ODS_INV_7230,,9999-12-31,True,2017,3,9,4,0,0,0,0,0,0,0,0
9431,000316,2017-03-09,000316,ODS_INV_7230,,9999-12-31,True,2017,3,9,4,0,0,0,0,0,0,0,0
11197,000316,2017-03-14,000316,ODS_INV_7230,,9999-12-31,True,2017,3,14,2,0,0,0,0,0,0,0,0
11251,000316,2017-03-13,000316,ODS_INV_7230,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
11252,000316,2017-03-13,000316,ODS_INV_7230,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
11253,000316,2017-03-13,000316,ODS_INV_7230,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
11254,000316,2017-03-13,000316,ODS_INV_7230,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
11255,000316,2017-03-13,000316,ODS_INV_7230,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
11256,000316,2017-03-13,000316,ODS_INV_7230,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
11257,000316,2017-03-13,000316,ODS_INV_7230,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
11258,000316,2017-03-13,000316,ODS_INV_7230,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
11259,000316,2017-03-13,000316,ODS_INV_7230,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
11484,000316,2017-03-14,000316,ODS_INV_7230,,9999-12-31,True,2017,3,14,2,0,0,0,0,0,0,0,0
11486,000316,2017-03-14,000316,ODS_INV_7230,,9999-12-31,True,2017,3,14,2,0,0,0,0,0,0,0,0
11488,000316,2017-03-14,000316,ODS_INV_7230,,9999-12-31,True,2017,3,14,2,0,0,0,0,0,0,0,0
14594,000316,2017-03-21,000316,ODS_INV_7230,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
17506,000316,2017-03-30,000316,ODS_INV_7230,2017-01-01,2017-03-31,True,2017,3,30,4,2017,1,1,7,2017,3,31,5
17535,000316,2017-03-31,000316,ODS_INV_7230,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
27582,000316,2017-04-11,000316,ODS_INV_7230,2017-01-01,2017-04-05,True,2017,4,11,2,2017,1,1,7,2017,4,5,3
27583,000316,2017-04-11,000316,ODS_INV_7230,2017-01-01,2017-04-05,True,2017,4,11,2,2017,1,1,7,2017,4,5,3
28146,000316,2017-04-14,000316,ODS_INV_7230,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
