,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
6150,000442,2017-02-09,000442,ODS_FIN_0271,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
6151,000442,2017-02-09,000442,ODS_FIN_0271,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
10442,000442,2017-03-11,000442,ODS_FIN_0271,,9999-12-31,True,2017,3,11,6,0,0,0,0,0,0,0,0
11045,000442,2017-03-14,000442,ODS_FIN_0271,,9999-12-31,True,2017,3,14,2,0,0,0,0,0,0,0,0
11086,000442,2017-03-14,000442,ODS_FIN_0271,,9999-12-31,True,2017,3,14,2,0,0,0,0,0,0,0,0
11588,000442,2017-03-15,000442,ODS_FIN_0271,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
14748,000442,2017-03-22,000442,ODS_FIN_0271,,9999-12-31,True,2017,3,22,3,0,0,0,0,0,0,0,0
16017,000442,2017-03-21,000442,ODS_FIN_0271,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
25708,000442,2017-04-07,000442,ODS_FIN_0271,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
31395,000442,2017-04-20,000442,ODS_FIN_0271,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
