,username,query_date,report_name,doc,start_date,end_date,is_period
4492,000759,2017-03-07,000759,ODS_INV_7170,,9999-12-31,True
4496,000759,2017-03-07,000759,ODS_INV_7170,,9999-12-31,True
4514,000759,2017-03-07,000759,ODS_INV_7170,,9999-12-31,True
4515,000759,2017-03-07,000759,ODS_INV_7170,,9999-12-31,True
4692,000759,2017-03-07,000759,ODS_INV_7260,,9999-12-31,True
5464,000759,2017-02-23,000759,ODS_INV_7200,,9999-12-31,True
8680,000759,2017-03-06,000759,ODS_INV_7200,,9999-12-31,True
9351,000759,2017-03-07,000759,ODS_INV_7170,,9999-12-31,True
10061,000759,2017-03-08,000759,ODS_INV_7170,,9999-12-31,True
10386,000759,2017-03-08,000759,ODS_INV_7180,,9999-12-31,True
10389,000759,2017-03-08,000759,ODS_INV_7260,,9999-12-31,True
12541,000759,2017-03-17,000759,LS_INV_0030,2017-01-10,2017-01-10,True
13715,000759,2017-03-20,000759,ODS_INV_7190,,9999-12-31,True
14124,000759,2017-03-20,000759,ODS_INV_7040,,9999-12-31,True
14642,000759,2017-03-22,000759,ODS_INV_7220,,9999-12-31,True
14643,000759,2017-03-22,000759,ODS_INV_7220,,9999-12-31,True
14644,000759,2017-03-22,000759,ODS_INV_7220,,9999-12-31,True
14910,000759,2017-03-21,000759,LS_INV_0030,2016-02-07,2016-02-07,True
14926,000759,2017-03-22,000759,ODS_INV_7200,,9999-12-31,True
14933,000759,2017-03-21,000759,LS_INV_0030,2017-02-07,2017-02-07,True
15833,000759,2017-03-21,000759,ODS_INV_7200,,9999-12-31,True
15836,000759,2017-03-21,000759,LS_INV_0030,2016-02-07,2016-02-07,True
17033,000759,2017-03-23,000759,ODS_INV_7170,,9999-12-31,True
17034,000759,2017-03-23,000759,ODS_INV_7170,,9999-12-31,True
17433,000759,2017-03-23,000759,ODS_INV_7180,,9999-12-31,True
17998,000759,2017-03-30,000759,ODS_INV_7200,2017-02-07,2017-03-01,True
18598,000759,2017-03-27,000759,ODS_INV_7170,,9999-12-31,True
23254,000759,2017-04-07,000759,LS_INV_0030,2017-03-31,2017-03-31,True
23818,000759,2017-04-07,000759,ODS_INV_7200,2017-03-01,2017-03-01,True
25030,000759,2017-04-07,000759,ODS_INV_7040,2016-03-01,2016-03-01,True
25103,000759,2017-04-07,000759,LS_INV_0030,2017-03-31,2017-03-31,True
25532,000759,2017-04-07,000759,ODS_INV_7040,2017-03-01,2017-03-01,True
26463,000759,2017-04-12,000759,ODS_INV_7260,,9999-12-31,True
27015,000759,2017-04-10,000759,ODS_INV_7200,2017-04-05,2017-04-05,True
27139,000759,2017-04-10,000759,ODS_INV_7200,2017-03-31,2017-03-31,True
27412,000759,2017-04-10,000759,LS_INV_0030,2017-03-31,2017-03-31,True
27438,000759,2017-04-11,000759,ODS_INV_7200,2017-04-05,2017-04-05,True
29143,000759,2017-04-13,000759,ODS_INV_7170,,9999-12-31,True
32034,000759,2017-04-20,000759,ODS_INV_7260,,9999-12-31,True
32214,000759,2017-04-20,000759,ODS_INV_7040,,9999-12-31,True
32215,000759,2017-04-20,000759,ODS_INV_7040,,9999-12-31,True
32216,000759,2017-04-20,000759,ODS_INV_7040,,9999-12-31,True
