,username,query_date,report_name,doc,start_date,end_date,is_period
21278,000768,2017-04-05,000768,ODS_INV_7040,2017-03-01,2017-03-01,True
21284,000768,2017-04-05,000768,ODS_INV_7010,,9999-12-31,True
21297,000768,2017-04-05,000768,ODS_INV_7040,2017-02-01,2017-02-28,True
21299,000768,2017-04-05,000768,ODS_INV_7020,,9999-12-31,True
21519,000768,2017-04-05,000768,ODS_INV_7171,2017-03-31,2017-03-31,True
21559,000768,2017-04-05,000768,LS_INV_0030,2017-04-01,2017-04-01,True
21592,000768,2017-04-05,000768,LS_INV_0010,2017-04-01,2017-04-01,True
21603,000768,2017-04-05,000768,ODS_INV_7171,2017-03-01,2017-03-31,True
22037,000768,2017-04-05,000768,ODS_INV_7040,2017-01-03,2017-01-03,True
22558,000768,2017-04-05,000768,LS_INV_0030,2017-01-03,2017-01-03,True
22559,000768,2017-04-05,000768,ODS_INV_7040,2017-01-03,2017-01-03,True
23070,000768,2017-04-05,000768,ODS_INV_7171,2017-03-01,2017-03-01,True
23480,000768,2017-04-05,000768,ODS_INV_7020,,9999-12-31,True
23566,000768,2017-04-05,000768,ODS_INV_7171,2017-03-01,2017-03-01,True
24320,000768,2017-04-05,000768,ODS_INV_7171,2017-03-01,2017-03-01,True
25819,000768,2017-04-05,000768,ODS_INV_7011,,9999-12-31,True
25920,000768,2017-04-05,000768,ODS_INV_7010,,9999-12-31,True
