,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1474,000868,2017-02-13,000868,ODS_POS_0430,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5353,000868,2017-02-13,000868,ODS_POS_0430,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5354,000868,2017-02-13,000868,ODS_POS_0430,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5559,000868,2017-02-13,000868,ODS_POS_0430,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5560,000868,2017-02-13,000868,ODS_POS_0430,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5561,000868,2017-02-13,000868,ODS_POS_0430,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6482,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6486,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6487,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6488,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6489,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6490,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6491,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6492,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6493,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6496,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6497,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6498,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6499,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6500,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6575,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6587,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
6590,000868,2017-03-03,000868,ODS_POS_0430,,9999-12-31,True,2017,3,3,5,0,0,0,0,0,0,0,0
8173,000868,2017-03-02,000868,ODS_POS_0430,,9999-12-31,True,2017,3,2,4,0,0,0,0,0,0,0,0
8174,000868,2017-03-02,000868,ODS_POS_0430,,9999-12-31,True,2017,3,2,4,0,0,0,0,0,0,0,0
8179,000868,2017-03-02,000868,ODS_POS_0430,,9999-12-31,True,2017,3,2,4,0,0,0,0,0,0,0,0
