,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4266,001076,2017-03-02,001076,ODS_CLM_0560,2016-12-31,2016-12-31,True,2017,3,2,4,2016,12,31,6,2016,12,31,6
4267,001076,2017-03-02,001076,ODS_CLM_0560,2016-12-01,2016-12-01,True,2017,3,2,4,2016,12,1,4,2016,12,1,4
4268,001076,2017-03-02,001076,ODS_CLM_0560,2016-12-02,2016-12-02,True,2017,3,2,4,2016,12,2,5,2016,12,2,5
4361,001076,2017-02-24,001076,ODS_CLM_0560,2016-12-12,2016-12-12,True,2017,2,24,5,2016,12,12,1,2016,12,12,1
4362,001076,2017-02-24,001076,ODS_CLM_0560,2016-10-01,2016-10-01,True,2017,2,24,5,2016,10,1,6,2016,10,1,6
4363,001076,2017-02-24,001076,ODS_CLM_0560,2016-10-30,2016-10-30,True,2017,2,24,5,2016,10,30,7,2016,10,30,7
8199,001076,2017-03-02,001076,ODS_CLM_0560,2016-01-10,2016-01-10,True,2017,3,2,4,2016,1,10,7,2016,1,10,7
8200,001076,2017-03-02,001076,ODS_CLM_0560,2016-01-11,2016-01-11,True,2017,3,2,4,2016,1,11,1,2016,1,11,1
17912,001076,2017-03-30,001076,ODS_CLM_0560,2017-03-01,2017-03-01,True,2017,3,30,4,2017,3,1,3,2017,3,1,3
17928,001076,2017-03-30,001076,ODS_CLM_0560,2017-03-31,2017-03-31,True,2017,3,30,4,2017,3,31,5,2017,3,31,5
17929,001076,2017-03-30,001076,ODS_CLM_0560,2017-03-15,2017-03-15,True,2017,3,30,4,2017,3,15,3,2017,3,15,3
18596,001076,2017-03-27,001076,ODS_CLM_0560,2017-01-01,2017-01-01,True,2017,3,27,1,2017,1,1,7,2017,1,1,7
20078,001076,2017-03-30,001076,ODS_CLM_0560,2017-03-31,2017-03-31,True,2017,3,30,4,2017,3,31,5,2017,3,31,5
26769,001076,2017-04-12,001076,ODS_CLM_0560,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
29560,001076,2017-04-17,001076,ODS_CLM_0560,2017-04-30,2017-04-30,True,2017,4,17,1,2017,4,30,7,2017,4,30,7
30186,001076,2017-04-17,001076,ODS_CLM_0560,2017-04-30,2017-04-30,True,2017,4,17,1,2017,4,30,7,2017,4,30,7
32275,001076,2017-04-20,001076,ODS_CLM_0560,2017-02-27,2017-02-27,True,2017,4,20,4,2017,2,27,1,2017,2,27,1
32276,001076,2017-04-20,001076,ODS_CLM_0560,2017-04-30,2017-04-30,True,2017,4,20,4,2017,4,30,7,2017,4,30,7
