,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
2790,001308,2017-02-16,001308,ODS_SC_6230,2016-01-31,2016-01-31,True,2017,2,16,4,2016,1,31,7,2016,1,31,7
2791,001308,2017-02-16,001308,ODS_SC_6230,2017-01-31,2017-01-31,True,2017,2,16,4,2017,1,31,2,2017,1,31,2
4684,001308,2017-03-08,001308,ODS_SC_6230,2017-02-26,2017-02-26,True,2017,3,8,3,2017,2,26,7,2017,2,26,7
7171,001308,2017-02-16,001308,ODS_SC_6230,2016-01-31,2016-01-31,True,2017,2,16,4,2016,1,31,7,2016,1,31,7
7172,001308,2017-02-16,001308,ODS_SC_6230,2016-01-31,2016-01-31,True,2017,2,16,4,2016,1,31,7,2016,1,31,7
9775,001308,2017-03-08,001308,ODS_SC_6230,2017-02-26,2017-02-26,True,2017,3,8,3,2017,2,26,7,2017,2,26,7
9776,001308,2017-03-08,001308,ODS_SC_6230,2017-02-26,2017-02-26,True,2017,3,8,3,2017,2,26,7,2017,2,26,7
10351,001308,2017-03-08,001308,ODS_SC_6230,2017-02-26,2017-02-26,True,2017,3,8,3,2017,2,26,7,2017,2,26,7
13045,001308,2017-03-16,001308,ODS_SC_6230,2017-02-28,2017-02-28,True,2017,3,16,4,2017,2,28,2,2017,2,28,2
25792,001308,2017-04-08,001308,ODS_SC_6230,2017-03-31,2017-03-31,True,2017,4,8,6,2017,3,31,5,2017,3,31,5
