,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
3905,001415,2017-02-22,001415,ODS_PA_0550_P,2017-01-03,2017-01-03,True,2017,2,22,3,2017,1,3,2,2017,1,3,2
3906,001415,2017-02-22,001415,ODS_PA_0550_P,2017-01-03,2017-01-03,True,2017,2,22,3,2017,1,3,2,2017,1,3,2
7265,001415,2017-02-22,001415,ODS_PA_0550_P,2017-01-03,2017-01-03,True,2017,2,22,3,2017,1,3,2,2017,1,3,2
7268,001415,2017-02-22,001415,ODS_PA_0550_P,2017-01-03,2017-01-03,True,2017,2,22,3,2017,1,3,2,2017,1,3,2
7378,001415,2017-03-01,001415,ODS_PA_0550_P,2016-11-05,2016-11-05,True,2017,3,1,3,2016,11,5,6,2016,11,5,6
7379,001415,2017-03-01,001415,ODS_PA_0550_P,2016-11-30,2016-11-30,True,2017,3,1,3,2016,11,30,3,2016,11,30,3
7955,001415,2017-03-04,001415,ODS_PA_0550_P,2017-01-10,2017-01-10,True,2017,3,4,6,2017,1,10,2,2017,1,10,2
11411,001415,2017-03-13,001415,ODS_PA_0550_P,2017-01-26,2017-01-26,True,2017,3,13,1,2017,1,26,4,2017,1,26,4
12139,001415,2017-03-15,001415,ODS_PA_0550_P,2017-02-02,2017-02-02,True,2017,3,15,3,2017,2,2,4,2017,2,2,4
12141,001415,2017-03-15,001415,ODS_PA_0550_P,2017-02-07,2017-02-07,True,2017,3,15,3,2017,2,7,2,2017,2,7,2
12143,001415,2017-03-15,001415,ODS_PA_0550_P,2017-02-02,2017-02-02,True,2017,3,15,3,2017,2,2,4,2017,2,2,4
17550,001415,2017-03-31,001415,ODS_PA_0550_P,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
17639,001415,2017-03-31,001415,ODS_PA_0550_P,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
17706,001415,2017-03-31,001415,ODS_PA_0550_P,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
20593,001415,2017-03-31,001415,ODS_PA_0550_P,2017-03-22,2017-03-22,True,2017,3,31,5,2017,3,22,3,2017,3,22,3
20771,001415,2017-03-31,001415,ODS_PA_0550_P,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
20772,001415,2017-03-31,001415,ODS_PA_0550_P,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
20774,001415,2017-03-31,001415,ODS_PA_0550_P,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
20775,001415,2017-03-31,001415,ODS_PA_0550_P,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
20776,001415,2017-03-31,001415,ODS_PA_0550_P,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
20777,001415,2017-03-31,001415,ODS_PA_0550_P,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
20787,001415,2017-03-31,001415,ODS_PA_0550_P,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
20788,001415,2017-03-31,001415,ODS_PA_0550_P,2017-01-26,2017-01-26,True,2017,3,31,5,2017,1,26,4,2017,1,26,4
20805,001415,2017-03-31,001415,ODS_PA_0550_P,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
21110,001415,2017-03-31,001415,ODS_PA_0550_P,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
21144,001415,2017-03-31,001415,ODS_PA_0550_P,2017-02-27,2017-02-27,True,2017,3,31,5,2017,2,27,1,2017,2,27,1
24542,001415,2017-04-06,001415,ODS_PA_0550_P,2017-03-31,2017-03-31,True,2017,4,6,4,2017,3,31,5,2017,3,31,5
24543,001415,2017-04-06,001415,ODS_PA_0550_P,2017-03-01,2017-03-01,True,2017,4,6,4,2017,3,1,3,2017,3,1,3
24544,001415,2017-04-06,001415,ODS_PA_0550_P,2017-03-01,2017-03-01,True,2017,4,6,4,2017,3,1,3,2017,3,1,3
24545,001415,2017-04-06,001415,ODS_PA_0550_P,2017-03-31,2017-03-31,True,2017,4,6,4,2017,3,31,5,2017,3,31,5
29473,001415,2017-04-14,001415,ODS_PA_0550_P,2017-04-05,2017-04-05,True,2017,4,14,5,2017,4,5,3,2017,4,5,3
30524,001415,2017-04-21,001415,ODS_PA_0550_P,2017-04-30,2017-04-30,True,2017,4,21,5,2017,4,30,7,2017,4,30,7
30525,001415,2017-04-21,001415,ODS_PA_0550_P,2017-04-30,2017-04-30,True,2017,4,21,5,2017,4,30,7,2017,4,30,7
30828,001415,2017-04-18,001415,ODS_PA_0550_P,2017-04-30,2017-04-30,True,2017,4,18,2,2017,4,30,7,2017,4,30,7
31019,001415,2017-04-18,001415,ODS_PA_0550_P,2017-04-30,2017-04-30,True,2017,4,18,2,2017,4,30,7,2017,4,30,7
31025,001415,2017-04-18,001415,ODS_PA_0550_P,2017-04-30,2017-04-30,True,2017,4,18,2,2017,4,30,7,2017,4,30,7
