,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
12963,001698,2017-03-16,001698,ODS_RI_0170,2017-03-01,2017-03-01,True,2017,3,16,4,2017,3,1,3,2017,3,1,3
13231,001698,2017-03-16,001698,ODS_RI_0170,2017-02-02,2017-02-02,True,2017,3,16,4,2017,2,2,4,2017,2,2,4
13340,001698,2017-03-16,001698,ODS_RI_0170,2017-02-24,2017-02-24,True,2017,3,16,4,2017,2,24,5,2017,2,24,5
13341,001698,2017-03-16,001698,ODS_RI_0170,2017-02-24,2017-02-24,True,2017,3,16,4,2017,2,24,5,2017,2,24,5
13345,001698,2017-03-16,001698,ODS_RI_0170,2017-01-03,2017-01-03,True,2017,3,16,4,2017,1,3,2,2017,1,3,2
17750,001698,2017-03-30,001698,ODS_RI_0170,2017-03-31,2017-03-31,True,2017,3,30,4,2017,3,31,5,2017,3,31,5
17751,001698,2017-03-30,001698,ODS_RI_0170,2017-02-28,2017-02-28,True,2017,3,30,4,2017,2,28,2,2017,2,28,2
17841,001698,2017-03-30,001698,ODS_RI_0170,2017-02-28,2017-02-28,True,2017,3,30,4,2017,2,28,2,2017,2,28,2
17842,001698,2017-03-30,001698,ODS_RI_0170,2017-02-28,2017-02-28,True,2017,3,30,4,2017,2,28,2,2017,2,28,2
31827,001698,2017-04-20,001698,ODS_RI_0170,2017-03-31,2017-03-31,True,2017,4,20,4,2017,3,31,5,2017,3,31,5
31828,001698,2017-04-20,001698,ODS_RI_0170,2017-05-31,2017-05-31,True,2017,4,20,4,2017,5,31,3,2017,5,31,3
31829,001698,2017-04-20,001698,ODS_RI_0170,2017-04-30,2017-04-30,True,2017,4,20,4,2017,4,30,7,2017,4,30,7
31830,001698,2017-04-20,001698,ODS_RI_0170,2017-03-31,2017-03-31,True,2017,4,20,4,2017,3,31,5,2017,3,31,5
32208,001698,2017-04-20,001698,ODS_RI_0170,2017-05-31,2017-05-31,True,2017,4,20,4,2017,5,31,3,2017,5,31,3
