,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1445,001713,2017-04-19,001713,#POLICY#,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1631,001713,2017-04-19,001713,#POLICY#,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
4076,001713,2017-02-22,001713,#POLICY#,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
16388,001713,2017-03-23,001713,#POLICY#,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
17103,001713,2017-03-22,001713,#POLICY#,,9999-12-31,True,2017,3,22,3,0,0,0,0,0,0,0,0
17252,001713,2017-03-23,001713,#POLICY#,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
17598,001713,2017-03-31,001713,#POLICY#,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
17676,001713,2017-03-31,001713,#POLICY#,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
17677,001713,2017-03-31,001713,#POLICY#,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
17707,001713,2017-03-31,001713,#POLICY#,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
18170,001713,2017-03-30,001713,#POLICY#,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
18299,001713,2017-03-29,001713,#POLICY#,,9999-12-31,True,2017,3,29,3,0,0,0,0,0,0,0,0
18300,001713,2017-03-29,001713,#POLICY#,,9999-12-31,True,2017,3,29,3,0,0,0,0,0,0,0,0
18381,001713,2017-03-29,001713,#POLICY#,,9999-12-31,True,2017,3,29,3,0,0,0,0,0,0,0,0
18809,001713,2017-03-27,001713,#POLICY#,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
18810,001713,2017-03-27,001713,#POLICY#,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
20087,001713,2017-03-30,001713,#POLICY#,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20090,001713,2017-03-30,001713,#POLICY#,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
21146,001713,2017-03-31,001713,#POLICY#,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
21147,001713,2017-03-31,001713,#POLICY#,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
21268,001713,2017-03-29,001713,#POLICY#,,9999-12-31,True,2017,3,29,3,0,0,0,0,0,0,0,0
21440,001713,2017-04-05,001713,#POLICY#,,9999-12-31,True,2017,4,5,3,0,0,0,0,0,0,0,0
21503,001713,2017-04-05,001713,#POLICY#,,9999-12-31,True,2017,4,5,3,0,0,0,0,0,0,0,0
21506,001713,2017-04-05,001713,#POLICY#,,9999-12-31,True,2017,4,5,3,0,0,0,0,0,0,0,0
23924,001713,2017-04-06,001713,#POLICY#,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
26190,001713,2017-04-11,001713,#POLICY#,,9999-12-31,True,2017,4,11,2,0,0,0,0,0,0,0,0
26410,001713,2017-04-11,001713,#POLICY#,,9999-12-31,True,2017,4,11,2,0,0,0,0,0,0,0,0
27713,001713,2017-04-11,001713,#POLICY#,,9999-12-31,True,2017,4,11,2,0,0,0,0,0,0,0,0
28534,001713,2017-04-11,001713,#POLICY#,,9999-12-31,True,2017,4,11,2,0,0,0,0,0,0,0,0
28580,001713,2017-04-11,001713,#POLICY#,,9999-12-31,True,2017,4,11,2,0,0,0,0,0,0,0,0
29604,001713,2017-04-17,001713,#POLICY#,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
29605,001713,2017-04-17,001713,#POLICY#,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
30964,001713,2017-04-18,001713,#POLICY#,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
30965,001713,2017-04-18,001713,#POLICY#,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
30979,001713,2017-04-18,001713,#POLICY#,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
31057,001713,2017-04-18,001713,#POLICY#,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
31060,001713,2017-04-18,001713,#POLICY#,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
31061,001713,2017-04-18,001713,#POLICY#,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
31064,001713,2017-04-18,001713,#POLICY#,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
31066,001713,2017-04-18,001713,#POLICY#,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
31085,001713,2017-04-18,001713,#POLICY#,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
31087,001713,2017-04-18,001713,#POLICY#,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
