,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1252,002064,2017-02-14,002064,ODS_PA_0460,2016-12-30,2016-12-30,True,2017,2,14,2,2016,12,30,5,2016,12,30,5
4507,002064,2017-03-07,002064,ODS_PA_0460,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
4509,002064,2017-03-07,002064,ODS_PA_0460,2017-01-10,2017-01-10,True,2017,3,7,2,2017,1,10,2,2017,1,10,2
6055,002064,2017-02-22,002064,ODS_PA_0460,2017-01-03,2017-01-03,True,2017,2,22,3,2017,1,3,2,2017,1,3,2
6056,002064,2017-02-22,002064,ODS_PA_0460,2017-01-31,2017-01-31,True,2017,2,22,3,2017,1,31,2,2017,1,31,2
6057,002064,2017-02-22,002064,ODS_PA_0460,2016-11-30,2016-11-30,True,2017,2,22,3,2016,11,30,3,2016,11,30,3
7356,002064,2017-02-24,002064,ODS_PA_0460,2017-01-03,2017-01-03,True,2017,2,24,5,2017,1,3,2,2017,1,3,2
8190,002064,2017-03-04,002064,ODS_PA_0460,2017-01-10,2017-01-10,True,2017,3,4,6,2017,1,10,2,2017,1,10,2
9423,002064,2017-03-09,002064,ODS_PA_0460,2017-01-26,2017-01-26,True,2017,3,9,4,2017,1,26,4,2017,1,26,4
9424,002064,2017-03-09,002064,ODS_PA_0460,2017-01-13,2017-01-13,True,2017,3,9,4,2017,1,13,5,2017,1,13,5
9425,002064,2017-03-09,002064,ODS_PA_0460,2017-01-10,2017-01-10,True,2017,3,9,4,2017,1,10,2,2017,1,10,2
12461,002064,2017-03-17,002064,ODS_PA_0460,2017-02-07,2017-02-07,True,2017,3,17,5,2017,2,7,2,2017,2,7,2
13496,002064,2017-03-17,002064,ODS_PA_0460,2017-02-02,2017-02-02,True,2017,3,17,5,2017,2,2,4,2017,2,2,4
13497,002064,2017-03-17,002064,ODS_PA_0460,2017-02-05,2017-02-05,True,2017,3,17,5,2017,2,5,7,2017,2,5,7
13498,002064,2017-03-17,002064,ODS_PA_0460,2017-02-07,2017-02-07,True,2017,3,17,5,2017,2,7,2,2017,2,7,2
20803,002064,2017-03-31,002064,ODS_PA_0460,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
24455,002064,2017-04-08,002064,ODS_PA_0460,2017-03-31,2017-03-31,True,2017,4,8,6,2017,3,31,5,2017,3,31,5
27862,002064,2017-04-10,002064,ODS_PA_0460,2017-04-05,2017-04-05,True,2017,4,10,1,2017,4,5,3,2017,4,5,3
