,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
3918,002266,2017-02-22,002266,FMT_UNB_0200,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
5293,002266,2017-02-23,002266,FMT_UNB_0200,,9999-12-31,True,2017,2,23,4,0,0,0,0,0,0,0,0
5465,002266,2017-02-23,002266,FMT_UNB_0200,,9999-12-31,True,2017,2,23,4,0,0,0,0,0,0,0,0
8469,002266,2017-03-02,002266,FMT_UNB_0200,,9999-12-31,True,2017,3,2,4,0,0,0,0,0,0,0,0
19756,002266,2017-03-28,002266,FMT_UNB_0200,,9999-12-31,True,2017,3,28,2,0,0,0,0,0,0,0,0
19831,002266,2017-03-28,002266,FMT_UNB_0200,,9999-12-31,True,2017,3,28,2,0,0,0,0,0,0,0,0
19866,002266,2017-03-28,002266,FMT_UNB_0200,,9999-12-31,True,2017,3,28,2,0,0,0,0,0,0,0,0
21128,002266,2017-03-28,002266,FMT_UNB_0200,,9999-12-31,True,2017,3,28,2,0,0,0,0,0,0,0,0
26638,002266,2017-04-12,002266,FMT_UNB_0200,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
28053,002266,2017-04-13,002266,FMT_UNB_0200,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
28949,002266,2017-04-14,002266,FMT_UNB_0200,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29901,002266,2017-04-13,002266,FMT_UNB_0200,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
29912,002266,2017-04-13,002266,FMT_UNB_0200,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
29943,002266,2017-04-13,002266,FMT_UNB_0200,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
30311,002266,2017-04-13,002266,FMT_UNB_0200,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
30313,002266,2017-04-13,002266,FMT_UNB_0200,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
