,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
2873,002266,2017-04-19,002266,ODS_UNB_0640,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
5034,002266,2017-03-10,002266,ODS_UNB_0640,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
5035,002266,2017-03-10,002266,ODS_UNB_0640,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
14572,002266,2017-03-21,002266,ODS_UNB_0640,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
14575,002266,2017-03-21,002266,ODS_UNB_0640,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
17111,002266,2017-03-22,002266,ODS_UNB_0640,,9999-12-31,True,2017,3,22,3,0,0,0,0,0,0,0,0
17112,002266,2017-03-22,002266,ODS_UNB_0640,,9999-12-31,True,2017,3,22,3,0,0,0,0,0,0,0,0
19881,002266,2017-03-28,002266,ODS_UNB_0640,,9999-12-31,True,2017,3,28,2,0,0,0,0,0,0,0,0
19882,002266,2017-03-28,002266,ODS_UNB_0640,,9999-12-31,True,2017,3,28,2,0,0,0,0,0,0,0,0
28375,002266,2017-04-14,002266,ODS_UNB_0640,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29522,002266,2017-04-17,002266,ODS_UNB_0640,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
29786,002266,2017-04-17,002266,ODS_UNB_0640,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
