,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4924,AGYYEE,2017-02-08,AGYYEE,ODS_INV_7300,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
4925,AGYYEE,2017-02-08,AGYYEE,ODS_INV_7300,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
4929,AGYYEE,2017-02-08,AGYYEE,ODS_INV_7290,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
4930,AGYYEE,2017-02-08,AGYYEE,ODS_INV_7290,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
4932,AGYYEE,2017-02-08,AGYYEE,ODS_INV_7290,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
4933,AGYYEE,2017-02-08,AGYYEE,ODS_INV_7290,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
4936,AGYYEE,2017-02-08,AGYYEE,ODS_INV_7300,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
5706,AGYYEE,2017-02-08,AGYYEE,ODS_INV_7300,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
5708,AGYYEE,2017-02-08,AGYYEE,ODS_INV_7300,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
5709,AGYYEE,2017-02-08,AGYYEE,ODS_INV_7300,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
5710,AGYYEE,2017-02-08,AGYYEE,ODS_INV_7290,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
5711,AGYYEE,2017-02-08,AGYYEE,ODS_INV_7290,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
7200,AGYYEE,2017-02-09,AGYYEE,ODS_INV_7300,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
7201,AGYYEE,2017-02-09,AGYYEE,ODS_INV_7290,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
7202,AGYYEE,2017-02-09,AGYYEE,ODS_INV_7290,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
7203,AGYYEE,2017-02-09,AGYYEE,ODS_INV_7300,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
