,username,query_date,report_name,doc,start_date,end_date,is_period
12552,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0150,2015-03-17,2017-03-17,True
12553,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0270,2015-03-17,2017-03-17,True
12554,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0130,2015-03-17,2017-03-17,True
12555,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0360,2015-03-17,2017-03-17,True
12556,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0470,2015-03-17,2017-03-17,True
12557,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_1570,2015-03-17,2017-03-17,True
12558,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0110,2015-03-17,2017-03-17,True
12559,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0340,2015-03-17,2017-03-17,True
12560,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0310,2015-03-17,2017-03-17,True
12561,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0100,2015-03-17,2017-03-17,True
12562,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0320,2015-03-17,2017-03-17,True
12563,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_7230,2015-03-17,2017-03-17,True
12564,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_7220,2015-03-17,2017-03-17,True
12565,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_7210,2015-03-17,2017-03-17,True
12566,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0080,2015-03-17,2017-03-17,True
12567,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0090,2015-03-17,2017-03-17,True
12568,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0060,2015-03-17,2017-03-17,True
12569,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0070,2015-03-17,2017-03-17,True
12570,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0180,2015-03-17,2017-03-17,True
12571,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0290,2015-03-17,2017-03-17,True
