,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
12552,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0150,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12553,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0270,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12554,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0130,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12555,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0360,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12556,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0470,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12557,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_1570,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12558,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0110,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12559,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0340,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12560,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0310,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12561,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0100,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12562,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0320,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12563,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_7230,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12564,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_7220,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12565,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_7210,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12566,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0080,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12567,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0090,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12568,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0060,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12569,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0070,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12570,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0180,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
12571,CSIS-R5,2017-03-17,CSIS-R5,FMT_POS_0290,2015-03-17,2017-03-17,True,2017,3,17,5,2015,3,17,2,2017,3,17,5
