,username,query_date,report_name,doc,start_date,end_date,is_period
25768,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0150,2015-04-08,2017-04-08,True
25769,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0270,2015-04-08,2017-04-08,True
25770,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0130,2015-04-08,2017-04-08,True
25771,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0360,2015-04-08,2017-04-08,True
25772,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0470,2015-04-08,2017-04-08,True
25773,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_1570,2015-04-08,2017-04-08,True
25774,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0110,2015-04-08,2017-04-08,True
25775,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0340,2015-04-08,2017-04-08,True
25776,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0310,2015-04-08,2017-04-08,True
25777,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0100,2015-04-08,2017-04-08,True
25778,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0320,2015-04-08,2017-04-08,True
25779,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_7230,2015-04-08,2017-04-08,True
25780,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_7220,2015-04-08,2017-04-08,True
25781,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_7210,2015-04-08,2017-04-08,True
25782,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0080,2015-04-08,2017-04-08,True
25783,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0090,2015-04-08,2017-04-08,True
25784,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0060,2015-04-08,2017-04-08,True
25785,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0070,2015-04-08,2017-04-08,True
25786,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0180,2015-04-08,2017-04-08,True
25787,CSIS-SIT3,2017-04-08,CSIS-SIT3,FMT_POS_0290,2015-04-08,2017-04-08,True
