,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
8711,CSIS,2017-03-06,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8742,CSIS,2017-03-06,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8773,CSIS,2017-03-06,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8861,CSIS,2017-03-06,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
9120,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
9145,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
9166,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
9174,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
9181,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
9187,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
9192,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
9196,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
9513,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
9525,CSIS,2017-03-07,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
9600,CSIS,2017-03-06,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
28501,CSIS,2017-04-14,CSIS,FMT_PA_0750,2016-08-07,2016-08-16,True,2017,4,14,5,2016,8,7,7,2016,8,16,2
