,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
8661,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8685,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8717,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8748,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8814,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8836,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8867,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8887,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8973,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
9033,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
9063,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
9095,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
9486,CSIS,2017-03-07,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
9573,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
28474,CSIS,2017-04-14,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,4,14,5,2016,8,7,7,2016,8,16,2
