,username,query_date,report_name,doc,start_date,end_date,is_period
13,NBJENIA,2017-02-10,NBJENIA,ODS_UNB_0680,,9999-12-31,True
237,NBJENIA,2017-02-10,NBJENIA,ODS_UNB_0680,,9999-12-31,True
871,NBJENIA,2017-02-09,NBJENIA,ODS_UNB_0260,2017-02-08,2017-02-08,True
872,NBJENIA,2017-02-09,NBJENIA,ODS_UNB_0260,2017-02-08,2017-02-08,True
873,NBJENIA,2017-02-09,NBJENIA,ODS_UNB_0260,2017-02-07,2017-02-07,True
874,NBJENIA,2017-02-09,NBJENIA,ODS_UNB_0260,2017-01-01,2017-01-01,True
876,NBJENIA,2017-02-09,NBJENIA,ODS_UNB_0260,2017-01-31,2017-01-31,True
1217,NBJENIA,2017-02-09,NBJENIA,ODS_UNB_0260,2016-01-31,2016-01-31,True
1218,NBJENIA,2017-02-09,NBJENIA,ODS_UNB_0260,2017-01-01,2017-01-01,True
1219,NBJENIA,2017-02-09,NBJENIA,ODS_UNB_0260,2017-01-31,2017-01-31,True
5704,NBJENIA,2017-02-08,NBJENIA,ODS_UNB_0470,,9999-12-31,True
5705,NBJENIA,2017-02-08,NBJENIA,ODS_UNB_0470,,9999-12-31,True
