,username,query_date,report_name,doc,start_date,end_date,is_period
5406,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
5408,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
5409,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
5410,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
5414,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
5448,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
5449,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
5450,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
5454,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
5455,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
5457,calvin,2017-02-13,calvin,ODS_FIN_1060,,9999-12-31,True
5459,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
5507,calvin,2017-02-13,calvin,ODS_FIN_1060,,9999-12-31,True
5508,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6792,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6794,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6795,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6798,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6799,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6847,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6849,calvin,2017-02-13,calvin,ODS_FIN_1060,,9999-12-31,True
6850,calvin,2017-02-13,calvin,ODS_FIN_1060,,9999-12-31,True
6851,calvin,2017-02-13,calvin,ODS_FIN_1060,,9999-12-31,True
6852,calvin,2017-02-13,calvin,ODS_FIN_1060,,9999-12-31,True
6869,calvin,2017-02-13,calvin,ODS_FIN_1060,,9999-12-31,True
6871,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6872,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6874,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6922,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6923,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6924,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6925,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6926,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6927,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6929,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6930,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6932,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6975,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
6977,calvin,2017-02-13,calvin,ODS_FIN_1060,,9999-12-31,True
7020,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
7021,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True
