,username,query_date,report_name,doc,start_date,end_date,is_period
10566,dennis,2017-04-12,dennis,ODS_INV_7300,,9999-12-31,True
14400,dennis,2017-04-12,dennis,ODS_INV_7300,,9999-12-31,True
26401,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
26402,dennis,2017-04-12,dennis,ODS_SC_6211,,9999-12-31,True
26592,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
26593,dennis,2017-04-12,dennis,ODS_SC_6211,,9999-12-31,True
26594,dennis,2017-04-12,dennis,ODS_SC_6211,,9999-12-31,True
26597,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
26613,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
26614,dennis,2017-04-12,dennis,ODS_SC_6211,,9999-12-31,True
26621,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
27405,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
