,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
26402,dennis,2017-04-12,dennis,ODS_SC_6211,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26593,dennis,2017-04-12,dennis,ODS_SC_6211,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26594,dennis,2017-04-12,dennis,ODS_SC_6211,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26614,dennis,2017-04-12,dennis,ODS_SC_6211,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27290,dennis,2017-04-11,dennis,ODS_SC_6211,2017-03-31,2017-03-31,True,2017,4,11,2,2017,3,31,5,2017,3,31,5
27291,dennis,2017-04-11,dennis,ODS_SC_6211,2017-03-31,2017-03-31,True,2017,4,11,2,2017,3,31,5,2017,3,31,5
29457,dennis,2017-04-14,dennis,ODS_SC_6211,2017-04-05,2017-04-05,True,2017,4,14,5,2017,4,5,3,2017,4,5,3
29536,dennis,2017-04-14,dennis,ODS_SC_6211,2017-04-05,2017-04-05,True,2017,4,14,5,2017,4,5,3,2017,4,5,3
29539,dennis,2017-04-14,dennis,ODS_SC_6211,2017-04-05,2017-04-05,True,2017,4,14,5,2017,4,5,3,2017,4,5,3
29541,dennis,2017-04-14,dennis,ODS_SC_6211,2017-04-05,2017-04-05,True,2017,4,14,5,2017,4,5,3,2017,4,5,3
30262,dennis,2017-04-15,dennis,ODS_SC_6211,2017-04-05,2017-04-05,True,2017,4,15,6,2017,4,5,3,2017,4,5,3
