,username,query_date,report_name,doc,start_date,end_date,is_period
10566,dennis,2017-04-12,dennis,ODS_INV_7300,,9999-12-31,True
11555,dennis,2017-03-15,dennis,ODS_POS_1350_P,,9999-12-31,True
11556,dennis,2017-03-15,dennis,ODS_POS_1350_E,,9999-12-31,True
11718,dennis,2017-03-15,dennis,ODS_POS_1440,2017-02-02,2017-02-02,True
14400,dennis,2017-04-12,dennis,ODS_INV_7300,,9999-12-31,True
14580,dennis,2017-03-21,dennis,ODS_POS_0880,2016-02-07,2016-02-07,True
14581,dennis,2017-03-21,dennis,ODS_POS_0880,2017-02-07,2017-02-07,True
14661,dennis,2017-03-21,dennis,ODS_POS_0880,2017-02-02,2017-02-02,True
15492,dennis,2017-03-21,dennis,ODS_POS_0880,2016-02-07,2016-02-07,True
15493,dennis,2017-03-21,dennis,ODS_POS_0880,2017-02-07,2017-02-07,True
15494,dennis,2017-03-21,dennis,ODS_POS_0880,2017-02-07,2017-02-07,True
15496,dennis,2017-03-21,dennis,ODS_POS_0880,2017-02-07,2017-02-07,True
21328,dennis,2017-04-05,dennis,ODS_UNB_0231,2017-02-07,2017-02-07,True
21329,dennis,2017-04-05,dennis,ODS_UNB_0231,2017-03-01,2017-03-01,True
21330,dennis,2017-04-05,dennis,ODS_UNB_0231,2017-03-31,2017-03-31,True
21332,dennis,2017-04-05,dennis,ODS_UNB_0232,2017-02-07,2017-02-07,True
21334,dennis,2017-04-05,dennis,ODS_UNB_0232,2017-03-01,2017-03-01,True
21335,dennis,2017-04-05,dennis,ODS_UNB_0232,2017-03-31,2017-03-31,True
21345,dennis,2017-04-05,dennis,ODS_INV_7150,2017-01-01,2017-04-01,True
21399,dennis,2017-04-05,dennis,ODS_INV_7150,2016-01-01,2016-04-01,True
21400,dennis,2017-04-05,dennis,ODS_INV_7150,2017-01-01,2017-04-01,True
21401,dennis,2017-04-05,dennis,ODS_INV_7150,2017-01-01,2017-04-01,True
21504,dennis,2017-04-05,dennis,ODS_INV_7250,2017-03-01,2017-04-01,True
21505,dennis,2017-04-05,dennis,ODS_INV_7250,2017-03-01,2017-04-01,True
21507,dennis,2017-04-05,dennis,ODS_INV_7250,2017-03-01,2017-06-01,True
21508,dennis,2017-04-05,dennis,ODS_INV_7250,2017-03-01,2017-06-01,True
21509,dennis,2017-04-05,dennis,ODS_INV_7250,2017-03-15,2017-05-01,True
21510,dennis,2017-04-05,dennis,ODS_INV_7250,2017-03-15,2017-05-01,True
25531,dennis,2017-04-07,dennis,ODS_INV_7250,2017-03-20,2017-04-01,True
25535,dennis,2017-04-07,dennis,ODS_INV_7300,,9999-12-31,True
25610,dennis,2017-04-07,dennis,ODS_INV_7250,2017-03-21,2017-04-05,True
26401,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
26402,dennis,2017-04-12,dennis,ODS_SC_6211,,9999-12-31,True
26592,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
26593,dennis,2017-04-12,dennis,ODS_SC_6211,,9999-12-31,True
26594,dennis,2017-04-12,dennis,ODS_SC_6211,,9999-12-31,True
26597,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
26613,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
26614,dennis,2017-04-12,dennis,ODS_SC_6211,,9999-12-31,True
26621,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
27290,dennis,2017-04-11,dennis,ODS_SC_6211,2017-03-31,2017-03-31,True
27291,dennis,2017-04-11,dennis,ODS_SC_6211,2017-03-31,2017-03-31,True
27405,dennis,2017-04-12,dennis,ODS_SC_6210,,9999-12-31,True
28107,dennis,2017-04-15,dennis,ODS_POS_1400,,9999-12-31,True
28112,dennis,2017-04-15,dennis,ODS_UNB_0050,2017-02-02,2017-02-02,True
28156,dennis,2017-04-15,dennis,ODS_SC_6030,,9999-12-31,True
28573,dennis,2017-04-15,dennis,ODS_SC_6210,2017-04-05,2017-04-05,True
28954,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True
28955,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True
28980,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True
29134,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True
29457,dennis,2017-04-14,dennis,ODS_SC_6211,2017-04-05,2017-04-05,True
29536,dennis,2017-04-14,dennis,ODS_SC_6211,2017-04-05,2017-04-05,True
29539,dennis,2017-04-14,dennis,ODS_SC_6211,2017-04-05,2017-04-05,True
29541,dennis,2017-04-14,dennis,ODS_SC_6211,2017-04-05,2017-04-05,True
29565,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True
29748,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True
29781,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True
30174,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True
30182,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True
30183,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True
30260,dennis,2017-04-15,dennis,ODS_SC_6210,2017-04-05,2017-04-05,True
30262,dennis,2017-04-15,dennis,ODS_SC_6211,2017-04-05,2017-04-05,True
