,username,query_date,report_name,doc,start_date,end_date,is_period
18273,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True
18274,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True
18277,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True
18278,esp.admin,2017-03-27,esp.admin,LS_SC_5540,,9999-12-31,True
18599,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True
18692,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True
19051,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True
20176,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True
20184,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True
20195,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True
20678,esp.admin,2017-03-27,esp.admin,LS_SC_5540,,9999-12-31,True
20769,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True
21077,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True
21080,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True
