,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
14911,esp.admin,2017-03-21,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
14912,esp.admin,2017-03-21,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
15067,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
15725,esp.admin,2017-03-21,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
16046,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
16931,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
16959,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
16976,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
17038,esp.admin,2017-03-22,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,22,3,0,0,0,0,0,0,0,0
17115,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
17116,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
17124,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
17131,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
17168,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
17245,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
17249,esp.admin,2017-03-21,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
17443,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
17460,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
17467,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
17473,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
17474,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
18273,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
18274,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
18277,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
18599,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
18692,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
19051,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
20176,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
20184,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
20195,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
20769,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
21077,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
21080,esp.admin,2017-03-27,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
21234,esp.admin,2017-03-29,esp.admin,LS_SC_5530,,9999-12-31,True,2017,3,29,3,0,0,0,0,0,0,0,0
22713,esp.admin,2017-04-05,esp.admin,LS_SC_5530,,9999-12-31,True,2017,4,5,3,0,0,0,0,0,0,0,0
