,username,query_date,report_name,doc,start_date,end_date,is_period
1165,esp.admin,2017-02-14,esp.admin,ODS_PA_0521_P,2016-12-30,2016-12-30,True
1167,esp.admin,2017-02-14,esp.admin,ODS_PA_0520_P,2016-12-30,2016-12-30,True
1168,esp.admin,2017-02-14,esp.admin,ODS_PA_0520_P,2016-12-30,2016-12-30,True
1169,esp.admin,2017-02-14,esp.admin,ODS_PA_0520_P,2016-12-30,2016-12-30,True
1170,esp.admin,2017-02-14,esp.admin,ODS_PA_0520_P,2016-12-30,2016-12-30,True
1172,esp.admin,2017-02-14,esp.admin,ODS_PA_0520_P,2016-12-30,2016-12-30,True
3997,esp.admin,2017-02-22,esp.admin,#POLICY#,,9999-12-31,True
4055,esp.admin,2017-02-22,esp.admin,#POLICY#,,9999-12-31,True
5303,esp.admin,2017-02-15,esp.admin,ODS_CLM_0350,2016-01-01,2016-01-01,True
5304,esp.admin,2017-02-15,esp.admin,ODS_CLM_0350,2016-01-01,2016-01-01,True
5598,esp.admin,2017-02-15,esp.admin,ODS_CLM_0350,2016-01-01,2016-01-01,True
5604,esp.admin,2017-02-15,esp.admin,ODS_CLM_0350,2016-01-01,2016-01-01,True
11077,esp.admin,2017-03-14,esp.admin,FMT_PA_0770,2017-12-31,2017-12-31,True
11662,esp.admin,2017-03-14,esp.admin,FMT_PA_0770,2017-02-23,2017-02-23,True
12138,esp.admin,2017-03-15,esp.admin,FMT_PA_0770,2018-01-26,2018-01-26,True
13046,esp.admin,2017-03-16,esp.admin,FMT_PA_0710,,9999-12-31,True
13368,esp.admin,2017-03-16,esp.admin,FMT_UNB_0372,,9999-12-31,True
13370,esp.admin,2017-03-16,esp.admin,FMT_UNB_0372,,9999-12-31,True
13377,esp.admin,2017-03-16,esp.admin,FMT_UNB_0372,,9999-12-31,True
13378,esp.admin,2017-03-16,esp.admin,FMT_UNB_0372,,9999-12-31,True
13379,esp.admin,2017-03-16,esp.admin,FMT_UNB_0372,,9999-12-31,True
14911,esp.admin,2017-03-21,esp.admin,LS_SC_5530,,9999-12-31,True
14912,esp.admin,2017-03-21,esp.admin,LS_SC_5530,,9999-12-31,True
15067,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True
15068,esp.admin,2017-03-24,esp.admin,LS_SC_5540,,9999-12-31,True
15725,esp.admin,2017-03-21,esp.admin,LS_SC_5530,,9999-12-31,True
16046,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True
16931,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True
16959,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True
16976,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True
17038,esp.admin,2017-03-22,esp.admin,LS_SC_5530,,9999-12-31,True
17115,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True
17116,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True
17124,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True
17131,esp.admin,2017-03-24,esp.admin,LS_SC_5530,,9999-12-31,True
17132,esp.admin,2017-03-24,esp.admin,LS_SC_5540,,9999-12-31,True
