,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
170,jesse,2017-02-08,jesse,ODS_CLM_0360,2016-11-30,2016-11-30,True,2017,2,8,3,2016,11,30,3,2016,11,30,3
1157,jesse,2017-02-14,jesse,ODS_PA_0651_P,2016-09-01,2020-01-01,True,2017,2,14,2,2016,9,1,4,2020,1,1,3
1178,jesse,2017-02-14,jesse,ODS_PA_0651_P,2016-09-01,2020-01-01,True,2017,2,14,2,2016,9,1,4,2020,1,1,3
1227,jesse,2017-02-14,jesse,ODS_PA_0641_P,2016-01-01,2018-01-01,True,2017,2,14,2,2016,1,1,5,2018,1,1,1
2740,jesse,2017-02-20,jesse,ODS_PA_0611_P,2018-01-02,2018-01-02,True,2017,2,20,1,2018,1,2,2,2018,1,2,2
2741,jesse,2017-02-20,jesse,ODS_PA_0611_P,2017-01-02,2017-01-02,True,2017,2,20,1,2017,1,2,1,2017,1,2,1
2751,jesse,2017-02-20,jesse,ODS_PA_0611_P,2017-01-02,2017-01-02,True,2017,2,20,1,2017,1,2,1,2017,1,2,1
2753,jesse,2017-02-20,jesse,ODS_PA_0610_P,2016-08-15,2016-08-15,True,2017,2,20,1,2016,8,15,1,2016,8,15,1
2754,jesse,2017-02-20,jesse,ODS_PA_0610_P,2016-08-15,2016-08-15,True,2017,2,20,1,2016,8,15,1,2016,8,15,1
2977,jesse,2017-02-17,jesse,ODS_PA_0390,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
3657,jesse,2017-02-20,jesse,ODS_PA_0551_P,2016-09-01,2016-09-01,True,2017,2,20,1,2016,9,1,4,2016,9,1,4
3660,jesse,2017-02-20,jesse,ODS_PA_0550_P,2016-09-01,2016-09-01,True,2017,2,20,1,2016,9,1,4,2016,9,1,4
3843,jesse,2017-02-20,jesse,ODS_PA_0650_P,2016-11-30,2016-11-30,True,2017,2,20,1,2016,11,30,3,2016,11,30,3
3844,jesse,2017-02-20,jesse,ODS_PA_0651_P,2016-11-30,2016-11-30,True,2017,2,20,1,2016,11,30,3,2016,11,30,3
4917,jesse,2017-02-08,jesse,ODS_CLM_0440,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
4918,jesse,2017-02-08,jesse,ODS_CLM_0440_T,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
4937,jesse,2017-02-08,jesse,ODS_CLM_0440_T,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
5702,jesse,2017-02-08,jesse,ODS_CLM_0440_T,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
5712,jesse,2017-02-08,jesse,ODS_CLM_0440_T,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
5713,jesse,2017-02-08,jesse,ODS_CLM_0440_T,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
5714,jesse,2017-02-08,jesse,ODS_CLM_0440_T,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
5715,jesse,2017-02-08,jesse,ODS_CLM_0440,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
6323,jesse,2017-02-09,jesse,ODS_PA_0521_P,2016-12-30,2016-12-30,True,2017,2,9,4,2016,12,30,5,2016,12,30,5
6341,jesse,2017-02-09,jesse,ODS_PA_0521_P,2017-01-31,2017-01-31,True,2017,2,9,4,2017,1,31,2,2017,1,31,2
6747,jesse,2017-02-20,jesse,ODS_PA_0590_P,2016-08-15,2016-08-15,True,2017,2,20,1,2016,8,15,1,2016,8,15,1
6748,jesse,2017-02-20,jesse,ODS_PA_0590_P,2016-08-15,2016-08-15,True,2017,2,20,1,2016,8,15,1,2016,8,15,1
7062,jesse,2017-02-09,jesse,ODS_PA_0521_P,2017-01-31,2017-01-31,True,2017,2,9,4,2017,1,31,2,2017,1,31,2
7064,jesse,2017-02-09,jesse,ODS_PA_0521_P,2017-01-31,2017-01-31,True,2017,2,9,4,2017,1,31,2,2017,1,31,2
7081,jesse,2017-02-09,jesse,ODS_PA_0501_P,2016-11-30,2016-11-30,True,2017,2,9,4,2016,11,30,3,2016,11,30,3
10559,jesse,2017-04-12,jesse,ODS_PA_0560_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
11855,jesse,2017-03-15,jesse,ODS_PA_0430,2017-01-03,2017-01-03,True,2017,3,15,3,2017,1,3,2,2017,1,3,2
11981,jesse,2017-03-15,jesse,ODS_PA_0440,2017-01-03,2017-01-03,True,2017,3,15,3,2017,1,3,2,2017,1,3,2
12024,jesse,2017-03-15,jesse,ODS_PA_0450,2017-01-16,2017-01-16,True,2017,3,15,3,2017,1,16,1,2017,1,16,1
12059,jesse,2017-03-15,jesse,ODS_PA_0450,2017-01-10,2017-01-10,True,2017,3,15,3,2017,1,10,2,2017,1,10,2
12086,jesse,2017-03-15,jesse,ODS_PA_0450,2017-01-26,2017-01-26,True,2017,3,15,3,2017,1,26,4,2017,1,26,4
12087,jesse,2017-03-15,jesse,ODS_PA_0450,2017-02-02,2017-02-02,True,2017,3,15,3,2017,2,2,4,2017,2,2,4
12088,jesse,2017-03-15,jesse,ODS_PA_0450,2017-02-02,2017-02-02,True,2017,3,15,3,2017,2,2,4,2017,2,2,4
12090,jesse,2017-03-15,jesse,ODS_PA_0450,2017-01-26,2017-01-26,True,2017,3,15,3,2017,1,26,4,2017,1,26,4
12125,jesse,2017-03-15,jesse,ODS_PA_0440,2017-01-03,2017-01-03,True,2017,3,15,3,2017,1,3,2,2017,1,3,2
12310,jesse,2017-03-17,jesse,ODS_CLM_0370,2017-02-02,2017-02-02,True,2017,3,17,5,2017,2,2,4,2017,2,2,4
12312,jesse,2017-03-17,jesse,ODS_CLM_0350,2017-02-02,2017-02-02,True,2017,3,17,5,2017,2,2,4,2017,2,2,4
12658,jesse,2017-03-17,jesse,ODS_PA_0551_P,2017-02-02,2017-02-02,True,2017,3,17,5,2017,2,2,4,2017,2,2,4
12980,jesse,2017-03-16,jesse,ODS_PA_0430,2017-02-02,2017-02-02,True,2017,3,16,4,2017,2,2,4,2017,2,2,4
13141,jesse,2017-03-17,jesse,ODS_CLM_0350,2017-02-02,2017-02-02,True,2017,3,17,5,2017,2,2,4,2017,2,2,4
13142,jesse,2017-03-17,jesse,ODS_CLM_0350,2017-01-31,2017-01-31,True,2017,3,17,5,2017,1,31,2,2017,1,31,2
13180,jesse,2017-03-16,jesse,ODS_PA_0580,2017-01-02,2017-01-02,True,2017,3,16,4,2017,1,2,1,2017,1,2,1
13188,jesse,2017-03-16,jesse,ODS_PA_0580,2016-09-01,2016-09-01,True,2017,3,16,4,2016,9,1,4,2016,9,1,4
13219,jesse,2017-03-16,jesse,ODS_PA_0580,2016-09-01,2016-09-01,True,2017,3,16,4,2016,9,1,4,2016,9,1,4
13359,jesse,2017-03-16,jesse,ODS_PA_0430,2017-02-02,2017-02-02,True,2017,3,16,4,2017,2,2,4,2017,2,2,4
13388,jesse,2017-03-16,jesse,ODS_PA_0430,2017-02-02,2017-02-02,True,2017,3,16,4,2017,2,2,4,2017,2,2,4
14405,jesse,2017-04-12,jesse,ODS_PA_0560_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
14573,jesse,2017-03-21,jesse,ODS_CLM_0430,2017-02-28,2017-02-28,True,2017,3,21,2,2017,2,28,2,2017,2,28,2
14574,jesse,2017-03-21,jesse,ODS_CLM_0440,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
15006,jesse,2017-03-24,jesse,ODS_CLM_0350,2017-02-01,2017-02-01,True,2017,3,24,5,2017,2,1,3,2017,2,1,3
15007,jesse,2017-03-24,jesse,ODS_CLM_0350,2017-02-14,2017-02-14,True,2017,3,24,5,2017,2,14,2,2017,2,14,2
15118,jesse,2017-03-24,jesse,ODS_CLM_0350,2017-02-28,2017-02-28,True,2017,3,24,5,2017,2,28,2,2017,2,28,2
17014,jesse,2017-03-22,jesse,ODS_PA_0580,2016-09-01,2016-09-01,True,2017,3,22,3,2016,9,1,4,2016,9,1,4
17136,jesse,2017-03-23,jesse,ODS_PA_0381,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
20088,jesse,2017-03-30,jesse,ODS_PA_0270,2017-03-01,2017-03-01,True,2017,3,30,4,2017,3,1,3,2017,3,1,3
21513,jesse,2017-04-06,jesse,ODS_PA_0430,2017-03-01,2017-03-01,True,2017,4,6,4,2017,3,1,3,2017,3,1,3
22403,jesse,2017-04-06,jesse,ODS_PA_0460,2017-02-07,2017-02-07,True,2017,4,6,4,2017,2,7,2,2017,2,7,2
22413,jesse,2017-04-06,jesse,ODS_PA_0450,2017-03-01,2017-03-01,True,2017,4,6,4,2017,3,1,3,2017,3,1,3
22843,jesse,2017-04-10,jesse,ODS_PA_0361_P,2017-03-01,2017-03-31,True,2017,4,10,1,2017,3,1,3,2017,3,31,5
22909,jesse,2017-04-06,jesse,ODS_PA_0430,2017-03-01,2017-03-01,True,2017,4,6,4,2017,3,1,3,2017,3,1,3
24287,jesse,2017-04-10,jesse,ODS_PA_0361_P,2017-03-01,2017-03-01,True,2017,4,10,1,2017,3,1,3,2017,3,1,3
25916,jesse,2017-04-07,jesse,ODS_PA_0470_P,2017-03-31,2017-03-31,True,2017,4,7,5,2017,3,31,5,2017,3,31,5
26226,jesse,2017-04-10,jesse,ODS_PA_0361_P,2017-03-01,2017-03-31,True,2017,4,10,1,2017,3,1,3,2017,3,31,5
26281,jesse,2017-04-10,jesse,ODS_PA_0631_P,2017-03-01,2017-03-31,True,2017,4,10,1,2017,3,1,3,2017,3,31,5
26665,jesse,2017-04-12,jesse,ODS_PA_0390,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26722,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26730,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26731,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26761,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26828,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26829,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26830,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26870,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26872,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26874,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26976,jesse,2017-04-10,jesse,ODS_PA_0631_P,2017-03-01,2017-03-31,True,2017,4,10,1,2017,3,1,3,2017,3,31,5
27409,jesse,2017-04-12,jesse,ODS_PA_0560_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27410,jesse,2017-04-12,jesse,ODS_PA_0560_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27969,jesse,2017-04-13,jesse,ODS_PA_0480,2017-04-05,2017-04-05,True,2017,4,13,4,2017,4,5,3,2017,4,5,3
27971,jesse,2017-04-13,jesse,ODS_PA_0480,2017-04-05,2017-04-05,True,2017,4,13,4,2017,4,5,3,2017,4,5,3
28119,jesse,2017-04-14,jesse,ODS_PA_0391,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
28120,jesse,2017-04-14,jesse,ODS_PA_0390,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
28147,jesse,2017-04-14,jesse,ODS_PA_0390,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
28195,jesse,2017-04-10,jesse,ODS_PA_0361_P,2017-03-01,2017-03-31,True,2017,4,10,1,2017,3,1,3,2017,3,31,5
28405,jesse,2017-04-13,jesse,ODS_PA_0430,2017-03-31,2017-03-31,True,2017,4,13,4,2017,3,31,5,2017,3,31,5
28777,jesse,2017-04-10,jesse,ODS_PA_0631_P,2017-03-01,2017-03-31,True,2017,4,10,1,2017,3,1,3,2017,3,31,5
29030,jesse,2017-04-14,jesse,ODS_PA_0351_P,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29124,jesse,2017-04-14,jesse,ODS_PA_0390,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29125,jesse,2017-04-14,jesse,ODS_PA_0391,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29152,jesse,2017-04-14,jesse,ODS_PA_0391,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29153,jesse,2017-04-14,jesse,ODS_PA_0390,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29160,jesse,2017-04-14,jesse,ODS_PA_0391,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29514,jesse,2017-04-17,jesse,ODS_PA_0270,2017-04-30,2017-04-30,True,2017,4,17,1,2017,4,30,7,2017,4,30,7
29609,jesse,2017-04-14,jesse,ODS_PA_0391,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29610,jesse,2017-04-14,jesse,ODS_PA_0391,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29614,jesse,2017-04-13,jesse,ODS_PA_0430,2017-03-31,2017-03-31,True,2017,4,13,4,2017,3,31,5,2017,3,31,5
29797,jesse,2017-04-13,jesse,ODS_PA_0430,2017-04-05,2017-04-05,True,2017,4,13,4,2017,4,5,3,2017,4,5,3
29930,jesse,2017-04-14,jesse,ODS_PA_0391,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29957,jesse,2017-04-14,jesse,ODS_PA_0390,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
30058,jesse,2017-04-17,jesse,ODS_PA_0390,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
30259,jesse,2017-04-13,jesse,ODS_PA_0430,2017-04-05,2017-04-05,True,2017,4,13,4,2017,4,5,3,2017,4,5,3
30264,jesse,2017-04-13,jesse,ODS_PA_0430,2017-03-01,2017-03-01,True,2017,4,13,4,2017,3,1,3,2017,3,1,3
30474,jesse,2017-04-20,jesse,ODS_PA_0631_P,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
31426,jesse,2017-04-20,jesse,ODS_PA_0631_P,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
31430,jesse,2017-04-20,jesse,ODS_PA_0631_P,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
31972,jesse,2017-04-20,jesse,ODS_PA_0631_P,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
31973,jesse,2017-04-20,jesse,ODS_PA_0631_P,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
