,username,query_date,report_name,doc,start_date,end_date,is_period
23283,jessie,2017-04-07,jessie,ODS_SC_6200,2017-03-31,2017-03-31,True
23321,jessie,2017-04-07,jessie,ODS_SC_6200,2017-03-31,2017-03-31,True
23723,jessie,2017-04-07,jessie,ODS_SC_6211,2017-01-31,2017-01-31,True
23726,jessie,2017-04-07,jessie,ODS_SC_6211,2017-03-31,2017-03-31,True
23727,jessie,2017-04-07,jessie,ODS_SC_6211,2017-03-01,2017-03-01,True
23728,jessie,2017-04-07,jessie,ODS_SC_6210,2017-03-31,2017-03-31,True
23729,jessie,2017-04-07,jessie,ODS_SC_6211,2017-03-31,2017-03-31,True
23731,jessie,2017-04-07,jessie,ODS_SC_6200,2017-01-02,2017-01-02,True
25182,jessie,2017-04-07,jessie,ODS_SC_6200,2017-01-02,2017-01-02,True
25188,jessie,2017-04-07,jessie,ODS_SC_6200,2017-03-31,2017-03-31,True
25190,jessie,2017-04-07,jessie,ODS_SC_6200,2017-03-31,2017-03-31,True
