,username,query_date,report_name,doc,start_date,end_date,is_period
23283,jessie,2017-04-07,jessie,ODS_SC_6200,2017-03-31,2017-03-31,True
23321,jessie,2017-04-07,jessie,ODS_SC_6200,2017-03-31,2017-03-31,True
23723,jessie,2017-04-07,jessie,ODS_SC_6211,2017-01-31,2017-01-31,True
23726,jessie,2017-04-07,jessie,ODS_SC_6211,2017-03-31,2017-03-31,True
23727,jessie,2017-04-07,jessie,ODS_SC_6211,2017-03-01,2017-03-01,True
23728,jessie,2017-04-07,jessie,ODS_SC_6210,2017-03-31,2017-03-31,True
23729,jessie,2017-04-07,jessie,ODS_SC_6211,2017-03-31,2017-03-31,True
23731,jessie,2017-04-07,jessie,ODS_SC_6200,2017-01-02,2017-01-02,True
25182,jessie,2017-04-07,jessie,ODS_SC_6200,2017-01-02,2017-01-02,True
25188,jessie,2017-04-07,jessie,ODS_SC_6200,2017-03-31,2017-03-31,True
25190,jessie,2017-04-07,jessie,ODS_SC_6200,2017-03-31,2017-03-31,True
26321,jessie,2017-04-11,jessie,ODS_SC_6210,2017-03-01,2017-03-01,True
27407,jessie,2017-04-12,jessie,ODS_SC_6211,,9999-12-31,True
28133,jessie,2017-04-15,jessie,ODS_SC_6210,2017-04-05,2017-04-05,True
28136,jessie,2017-04-15,jessie,ODS_SC_6030,,9999-12-31,True
28150,jessie,2017-04-15,jessie,ODS_SC_6030,,9999-12-31,True
28151,jessie,2017-04-15,jessie,ODS_SC_6030,,9999-12-31,True
28152,jessie,2017-04-15,jessie,ODS_SC_6030,,9999-12-31,True
28153,jessie,2017-04-15,jessie,ODS_SC_6030,,9999-12-31,True
28325,jessie,2017-04-13,jessie,ODS_SC_6180,2016-12-31,2016-12-31,True
28326,jessie,2017-04-13,jessie,ODS_SC_6180,2016-12-31,2016-12-31,True
28327,jessie,2017-04-13,jessie,ODS_SC_6180,2017-12-31,2017-12-31,True
28328,jessie,2017-04-13,jessie,ODS_SC_6180,2017-04-05,2017-04-05,True
28400,jessie,2017-04-15,jessie,ODS_SC_6030,,9999-12-31,True
29020,jessie,2017-04-13,jessie,ODS_SC_6800,,9999-12-31,True
29138,jessie,2017-04-13,jessie,ODS_SC_6170,,9999-12-31,True
29154,jessie,2017-04-14,jessie,ODS_SC_6030,,9999-12-31,True
30829,jessie,2017-04-18,jessie,ODS_SC_6800,,9999-12-31,True
30955,jessie,2017-04-18,jessie,ODS_SC_6050_E,2017-01-20,2017-01-20,True
30956,jessie,2017-04-18,jessie,ODS_SC_6050_E,2017-04-30,2017-04-30,True
31017,jessie,2017-04-18,jessie,ODS_SC_6211,2017-04-30,2017-04-30,True
31044,jessie,2017-04-18,jessie,ODS_SC_6200,2017-04-30,2017-04-30,True
31104,jessie,2017-04-18,jessie,ODS_SC_6210,2017-04-30,2017-04-30,True
31118,jessie,2017-04-18,jessie,ODS_SC_6050_E,2017-07-11,2017-07-11,True
31119,jessie,2017-04-18,jessie,ODS_SC_6050_E,2016-09-01,2016-09-01,True
31193,jessie,2017-04-18,jessie,ODS_SC_6000_P,2017-04-30,2017-04-30,True
31212,jessie,2017-04-18,jessie,ODS_SC_6020_P,2017-04-30,2017-04-30,True
31216,jessie,2017-04-18,jessie,ODS_SC_6010_E,2017-04-30,2017-04-30,True
31273,jessie,2017-04-21,jessie,ODS_SC_6230,2017-04-30,2017-04-30,True
31381,jessie,2017-04-18,jessie,ODS_SC_6050_E,2016-07-11,2016-07-11,True
31382,jessie,2017-04-18,jessie,ODS_SC_6050_E,2016-07-11,2016-07-11,True
31604,jessie,2017-04-18,jessie,ODS_SC_6050_E,2017-04-30,2017-04-30,True
31615,jessie,2017-04-18,jessie,ODS_SC_6050_P,,9999-12-31,True
32316,jessie,2017-04-18,jessie,ODS_SC_6500,2016-07-11,2016-07-11,True
