,username,query_date,report_name,doc,start_date,end_date,is_period
16932,jimmy,2017-03-24,jimmy,ODS_CLM_0370,2017-02-28,2017-02-28,True
16933,jimmy,2017-03-24,jimmy,ODS_CLM_0370,2017-02-28,2017-02-28,True
16934,jimmy,2017-03-24,jimmy,ODS_CLM_0370,2017-02-28,2017-02-28,True
16952,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
16953,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17117,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17118,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17119,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17120,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17121,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17127,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17164,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17165,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17166,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17167,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17169,jimmy,2017-03-24,jimmy,ODS_CLM_0400,2016-01-01,2016-01-01,True
17170,jimmy,2017-03-24,jimmy,ODS_PA_0720,,9999-12-31,True
17171,jimmy,2017-03-24,jimmy,ODS_POS_1290,2016-01-01,2016-01-01,True
17345,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True
17369,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True
17370,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True
17371,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True
17372,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True
17373,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True
17374,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True
17391,jimmy,2017-03-24,jimmy,ODS_FIN_0940,,9999-12-31,True
17442,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17459,jimmy,2017-03-24,jimmy,ODS_FIN_0310,,9999-12-31,True
17462,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17463,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17464,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17466,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17468,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17470,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17471,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17472,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
17475,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True
