,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
16952,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
16953,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17117,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17118,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17119,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17120,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17121,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17127,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17164,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17165,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17166,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17167,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17345,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True,2017,3,24,5,2011,1,1,6,2021,1,1,5
17369,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True,2017,3,24,5,2011,1,1,6,2021,1,1,5
17370,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True,2017,3,24,5,2011,1,1,6,2021,1,1,5
17371,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True,2017,3,24,5,2011,1,1,6,2021,1,1,5
17372,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True,2017,3,24,5,2011,1,1,6,2021,1,1,5
17373,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True,2017,3,24,5,2011,1,1,6,2021,1,1,5
17374,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True,2017,3,24,5,2011,1,1,6,2021,1,1,5
17442,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17462,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17463,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17464,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17466,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17468,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17470,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17471,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17472,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17475,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
