,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4196,jimmy,2017-03-07,jimmy,ODS_FIN_1350,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
4197,jimmy,2017-03-07,jimmy,ODS_FIN_1350,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
4238,jimmy,2017-02-23,jimmy,ODS_POS_0770,2017-01-02,2017-01-02,True,2017,2,23,4,2017,1,2,1,2017,1,2,1
4506,jimmy,2017-03-07,jimmy,ODS_FIN_1350,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
4508,jimmy,2017-03-07,jimmy,ODS_FIN_1350,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
5398,jimmy,2017-03-07,jimmy,ODS_FIN_1350,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
5809,jimmy,2017-03-03,jimmy,ODS_CLM_0510,2017-01-10,2017-01-10,True,2017,3,3,5,2017,1,10,2,2017,1,10,2
6002,jimmy,2017-03-03,jimmy,ODS_CLM_0510,2017-01-10,2017-01-10,True,2017,3,3,5,2017,1,10,2,2017,1,10,2
8643,jimmy,2017-03-10,jimmy,ODS_CLM_0571,2016-01-01,2016-01-01,True,2017,3,10,5,2016,1,1,5,2016,1,1,5
11050,jimmy,2017-03-14,jimmy,ODS_INV_7230,,9999-12-31,True,2017,3,14,2,0,0,0,0,0,0,0,0
11384,jimmy,2017-03-13,jimmy,ODS_FIN_1000,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
11664,jimmy,2017-03-14,jimmy,ODS_INV_7230,,9999-12-31,True,2017,3,14,2,0,0,0,0,0,0,0,0
16932,jimmy,2017-03-24,jimmy,ODS_CLM_0370,2017-02-28,2017-02-28,True,2017,3,24,5,2017,2,28,2,2017,2,28,2
16933,jimmy,2017-03-24,jimmy,ODS_CLM_0370,2017-02-28,2017-02-28,True,2017,3,24,5,2017,2,28,2,2017,2,28,2
16934,jimmy,2017-03-24,jimmy,ODS_CLM_0370,2017-02-28,2017-02-28,True,2017,3,24,5,2017,2,28,2,2017,2,28,2
16952,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
16953,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17027,jimmy,2017-03-23,jimmy,ODS_PA_0391,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
17117,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17118,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17119,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17120,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17121,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17127,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17135,jimmy,2017-03-23,jimmy,ODS_PA_0381,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
17164,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17165,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17166,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17167,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17169,jimmy,2017-03-24,jimmy,ODS_CLM_0400,2016-01-01,2016-01-01,True,2017,3,24,5,2016,1,1,5,2016,1,1,5
17170,jimmy,2017-03-24,jimmy,ODS_PA_0720,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
17171,jimmy,2017-03-24,jimmy,ODS_POS_1290,2016-01-01,2016-01-01,True,2017,3,24,5,2016,1,1,5,2016,1,1,5
17345,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True,2017,3,24,5,2011,1,1,6,2021,1,1,5
17369,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True,2017,3,24,5,2011,1,1,6,2021,1,1,5
17370,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True,2017,3,24,5,2011,1,1,6,2021,1,1,5
17371,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True,2017,3,24,5,2011,1,1,6,2021,1,1,5
17372,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True,2017,3,24,5,2011,1,1,6,2021,1,1,5
17373,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True,2017,3,24,5,2011,1,1,6,2021,1,1,5
17374,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2021-01-01,True,2017,3,24,5,2011,1,1,6,2021,1,1,5
17391,jimmy,2017-03-24,jimmy,ODS_FIN_0940,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
17442,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17459,jimmy,2017-03-24,jimmy,ODS_FIN_0310,,9999-12-31,True,2017,3,24,5,0,0,0,0,0,0,0,0
17462,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17463,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17464,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17466,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17468,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17470,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17471,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
17472,jimmy,2017-03-24,jimmy,FMT_PA_1000,2011-01-01,2031-01-01,True,2017,3,24,5,2011,1,1,6,2031,1,1,3
