,username,query_date,report_name,doc,start_date,end_date,is_period
14673,mPOS,2017-03-23,mPOS,report001,,,True
14674,mPOS,2017-03-23,mPOS,report001,,,True
14675,mPOS,2017-03-23,mPOS,FMT_CLM_0010,,,True
14676,mPOS,2017-03-23,mPOS,FMT_CLM_0010,,,True
14677,mPOS,2017-03-23,mPOS,FMT_POS_0290 ,,,True
14678,mPOS,2017-03-23,mPOS,FMT_POS_0290 ,,,True
14679,mPOS,2017-03-23,mPOS,FMT_POS_0290,,,True
14688,mPOS,2017-03-23,mPOS,FMT_CLM_0020,,,True
14782,mPOS,2017-03-23,mPOS,FMT_PA_0770,,,True
14783,mPOS,2017-03-23,mPOS,FMT_POS_0320,,,True
14790,mPOS,2017-03-23,mPOS,report001,,,True
14791,mPOS,2017-03-23,mPOS,report001,,,True
14842,mPOS,2017-03-23,mPOS,FMT_POS_0190,,,True
14844,mPOS,2017-03-23,mPOS,report001,,,True
14845,mPOS,2017-03-23,mPOS,report001,,,True
14969,mPOS,2017-03-23,mPOS,FMT_POS_0070,,,True
14970,mPOS,2017-03-23,mPOS,FMT_POS_0080,,,True
14971,mPOS,2017-03-23,mPOS,FMT_POS_0090,,,True
14972,mPOS,2017-03-23,mPOS,FMT_POS_0310,,,True
14973,mPOS,2017-03-23,mPOS,FMT_POS_0060,,,True
14974,mPOS,2017-03-23,mPOS,FMT_POS_0100,,,True
14975,mPOS,2017-03-23,mPOS,FMT_POS_0110,,,True
14976,mPOS,2017-03-23,mPOS,FMT_POS_0340,,,True
14977,mPOS,2017-03-23,mPOS,FMT_POS_0130,,,True
14978,mPOS,2017-03-23,mPOS,FMT_POS_0470,,,True
14979,mPOS,2017-03-23,mPOS,FMT_POS_0150,,,True
14980,mPOS,2017-03-23,mPOS,FMT_POS_0360,,,True
14981,mPOS,2017-03-23,mPOS,FMT_POS_0180,,,True
14982,mPOS,2017-03-23,mPOS,FMT_POS_0270,,,True
14983,mPOS,2017-03-23,mPOS,FMT_POS_0290,,,True
14984,mPOS,2017-03-23,mPOS,FMT_POS_0320,,,True
14985,mPOS,2017-03-23,mPOS,FMT_POS_1570,,,True
14986,mPOS,2017-03-23,mPOS,FMT_POS_7210,,,True
14987,mPOS,2017-03-23,mPOS,FMT_POS_7220,,,True
14988,mPOS,2017-03-23,mPOS,FMT_POS_7230,,,True
14989,mPOS,2017-03-23,mPOS,FMT_PA_0850,,,True
14990,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
14991,mPOS,2017-03-23,mPOS,FMT_PA_0851,,,True
14992,mPOS,2017-03-23,mPOS,FMT_PA_0852,,,True
14993,mPOS,2017-03-23,mPOS,FMT_PA_0853,,,True
14994,mPOS,2017-03-23,mPOS,FMT_PA_0854,,,True
14995,mPOS,2017-03-23,mPOS,FMT_PA_0855,,,True
14996,mPOS,2017-03-23,mPOS,FMT_PA_0930,,,True
14997,mPOS,2017-03-23,mPOS,FMT_PA_0750,,,True
14998,mPOS,2017-03-23,mPOS,FMT_PA_0780,,,True
14999,mPOS,2017-03-23,mPOS,FMT_PA_0790,,,True
15000,mPOS,2017-03-23,mPOS,FMT_PA_0710,,,True
15001,mPOS,2017-03-23,mPOS,FMT_POS_0180,,,True
15002,mPOS,2017-03-23,mPOS,FMT_POS_0360,,,True
15085,mPOS,2017-03-23,mPOS,FMT_POS_0070,,,True
15086,mPOS,2017-03-23,mPOS,FMT_POS_0080,,,True
15087,mPOS,2017-03-23,mPOS,FMT_POS_0090,,,True
15088,mPOS,2017-03-23,mPOS,FMT_POS_0310,,,True
15089,mPOS,2017-03-23,mPOS,FMT_POS_0060,,,True
15090,mPOS,2017-03-23,mPOS,FMT_POS_0100,,,True
15091,mPOS,2017-03-23,mPOS,FMT_POS_0110,,,True
15092,mPOS,2017-03-23,mPOS,FMT_POS_0340,,,True
15093,mPOS,2017-03-23,mPOS,FMT_POS_0130,,,True
15094,mPOS,2017-03-23,mPOS,FMT_POS_0470,,,True
15095,mPOS,2017-03-23,mPOS,FMT_POS_0150,,,True
15096,mPOS,2017-03-23,mPOS,FMT_POS_0360,,,True
15097,mPOS,2017-03-23,mPOS,FMT_POS_0180,,,True
15098,mPOS,2017-03-23,mPOS,FMT_POS_0270,,,True
15099,mPOS,2017-03-23,mPOS,FMT_POS_0290,,,True
15100,mPOS,2017-03-23,mPOS,FMT_POS_0320,,,True
15101,mPOS,2017-03-23,mPOS,FMT_POS_1570,,,True
15102,mPOS,2017-03-23,mPOS,FMT_POS_7210,,,True
15103,mPOS,2017-03-23,mPOS,FMT_POS_7220,,,True
15104,mPOS,2017-03-23,mPOS,FMT_POS_7230,,,True
15105,mPOS,2017-03-23,mPOS,FMT_PA_0850,,,True
15106,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
15107,mPOS,2017-03-23,mPOS,FMT_PA_0851,,,True
15108,mPOS,2017-03-23,mPOS,FMT_PA_0852,,,True
15109,mPOS,2017-03-23,mPOS,FMT_PA_0853,,,True
15110,mPOS,2017-03-23,mPOS,FMT_PA_0854,,,True
15111,mPOS,2017-03-23,mPOS,FMT_PA_0855,,,True
15112,mPOS,2017-03-23,mPOS,FMT_PA_0930,,,True
15113,mPOS,2017-03-23,mPOS,FMT_PA_0750,,,True
15114,mPOS,2017-03-23,mPOS,FMT_PA_0780,,,True
15115,mPOS,2017-03-23,mPOS,FMT_PA_0790,,,True
