,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
15183,mPOS,2017-03-24,mPOS,FMT_PA_0940,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15187,mPOS,2017-03-24,mPOS,FMT_PA_0940,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15191,mPOS,2017-03-24,mPOS,FMT_PA_0940,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15193,mPOS,2017-03-24,mPOS,FMT_PA_0940,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16075,mPOS,2017-03-24,mPOS,FMT_PA_0940,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16110,mPOS,2017-03-24,mPOS,FMT_PA_0940,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
18483,mPOS,2017-03-28,mPOS,FMT_PA_0940,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
18499,mPOS,2017-03-28,mPOS,FMT_PA_0940,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
18515,mPOS,2017-03-28,mPOS,FMT_PA_0940,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
19809,mPOS,2017-03-28,mPOS,FMT_PA_0940,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
