,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
6043,mPOS,2017-02-22,mPOS,FMT_POS_0020,,,True,2017,2,22,3,0,0,0,0,0,0,0,0
12440,mPOS,2017-03-17,mPOS,FMT_POS_0020,,,True,2017,3,17,5,0,0,0,0,0,0,0,0
12943,mPOS,2017-03-16,mPOS,FMT_POS_0020,,,True,2017,3,16,4,0,0,0,0,0,0,0,0
13594,mPOS,2017-03-20,mPOS,FMT_POS_0020,,,True,2017,3,20,1,0,0,0,0,0,0,0,0
13595,mPOS,2017-03-20,mPOS,FMT_POS_0020,,,True,2017,3,20,1,0,0,0,0,0,0,0,0
13792,mPOS,2017-03-20,mPOS,FMT_POS_0020,,,True,2017,3,20,1,0,0,0,0,0,0,0,0
13793,mPOS,2017-03-20,mPOS,FMT_POS_0020,,,True,2017,3,20,1,0,0,0,0,0,0,0,0
15332,mPOS,2017-03-24,mPOS,FMT_POS_0020,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15370,mPOS,2017-03-24,mPOS,FMT_POS_0020,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15381,mPOS,2017-03-24,mPOS,FMT_POS_0020,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15389,mPOS,2017-03-24,mPOS,FMT_POS_0020,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15393,mPOS,2017-03-24,mPOS,FMT_POS_0020,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
17862,mPOS,2017-03-31,mPOS,FMT_POS_0020,,,True,2017,3,31,5,0,0,0,0,0,0,0,0
18161,mPOS,2017-03-30,mPOS,FMT_POS_0020,,,True,2017,3,30,4,0,0,0,0,0,0,0,0
19172,mPOS,2017-03-27,mPOS,FMT_POS_0020,,,True,2017,3,27,1,0,0,0,0,0,0,0,0
19424,mPOS,2017-03-27,mPOS,FMT_POS_0020,,,True,2017,3,27,1,0,0,0,0,0,0,0,0
19630,mPOS,2017-03-31,mPOS,FMT_POS_0020,,,True,2017,3,31,5,0,0,0,0,0,0,0,0
19677,mPOS,2017-03-30,mPOS,FMT_POS_0020,,,True,2017,3,30,4,0,0,0,0,0,0,0,0
19760,mPOS,2017-03-28,mPOS,FMT_POS_0020,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
19763,mPOS,2017-03-28,mPOS,FMT_POS_0020,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
19764,mPOS,2017-03-28,mPOS,FMT_POS_0020,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
20053,mPOS,2017-03-28,mPOS,FMT_POS_0020,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
20055,mPOS,2017-03-28,mPOS,FMT_POS_0020,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
20085,mPOS,2017-03-31,mPOS,FMT_POS_0020,,,True,2017,3,31,5,0,0,0,0,0,0,0,0
22352,mPOS,2017-04-06,mPOS,FMT_POS_0020,,,True,2017,4,6,4,0,0,0,0,0,0,0,0
22441,mPOS,2017-04-06,mPOS,FMT_POS_0020,,,True,2017,4,6,4,0,0,0,0,0,0,0,0
23150,mPOS,2017-04-06,mPOS,FMT_POS_0020,,,True,2017,4,6,4,0,0,0,0,0,0,0,0
25438,mPOS,2017-04-06,mPOS,FMT_POS_0020,,,True,2017,4,6,4,0,0,0,0,0,0,0,0
29489,mPOS,2017-04-18,mPOS,FMT_POS_0020,,,True,2017,4,18,2,0,0,0,0,0,0,0,0
30494,mPOS,2017-04-18,mPOS,FMT_POS_0020,,,True,2017,4,18,2,0,0,0,0,0,0,0,0
