,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
15591,mPOS,2017-03-24,mPOS,FMT_SC_6850,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15637,mPOS,2017-03-24,mPOS,FMT_SC_6850,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15639,mPOS,2017-03-24,mPOS,FMT_SC_6850,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15643,mPOS,2017-03-24,mPOS,FMT_SC_6850,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15645,mPOS,2017-03-24,mPOS,FMT_SC_6850,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15646,mPOS,2017-03-24,mPOS,FMT_SC_6850,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
20723,mPOS,2017-03-28,mPOS,FMT_SC_6850,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
20724,mPOS,2017-03-28,mPOS,FMT_SC_6850,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
21623,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21634,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21652,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21661,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21673,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21682,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21750,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21759,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21815,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21823,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21834,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21842,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21850,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21861,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21869,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21877,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21885,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21893,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21901,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21909,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21917,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21928,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21936,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21944,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21955,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21963,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21971,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21982,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21990,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21998,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22011,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
22025,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22035,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
22047,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22055,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22063,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22071,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22079,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
22088,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
22098,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22107,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22116,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22125,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
22136,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
22152,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22161,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22172,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22181,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22190,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22199,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22208,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22217,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22226,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22236,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
22246,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
22254,mPOS,2017-04-05,mPOS,FMT_SC_6850,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
