,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1693,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
1709,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
1710,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
1752,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
1753,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
1805,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
1806,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
1842,mPOS,2017-02-16,mPOS,FMT_UNB_0782,,,True,2017,2,16,4,0,0,0,0,0,0,0,0
1847,mPOS,2017-02-16,mPOS,FMT_UNB_0782,,,True,2017,2,16,4,0,0,0,0,0,0,0,0
1848,mPOS,2017-02-16,mPOS,FMT_UNB_0782,,,True,2017,2,16,4,0,0,0,0,0,0,0,0
1849,mPOS,2017-02-16,mPOS,FMT_UNB_0782,,,True,2017,2,16,4,0,0,0,0,0,0,0,0
1921,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
1922,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
2782,mPOS,2017-02-16,mPOS,FMT_UNB_0782,,,True,2017,2,16,4,0,0,0,0,0,0,0,0
2788,mPOS,2017-02-16,mPOS,FMT_UNB_0782,,,True,2017,2,16,4,0,0,0,0,0,0,0,0
2789,mPOS,2017-02-16,mPOS,FMT_UNB_0782,,,True,2017,2,16,4,0,0,0,0,0,0,0,0
2792,mPOS,2017-02-16,mPOS,FMT_UNB_0782,,,True,2017,2,16,4,0,0,0,0,0,0,0,0
2842,mPOS,2017-02-16,mPOS,FMT_UNB_0782,,,True,2017,2,16,4,0,0,0,0,0,0,0,0
6956,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
6965,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7041,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7043,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7047,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7048,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7049,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7051,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7052,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7053,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7055,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7069,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7071,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7072,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7073,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7083,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7084,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7093,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7132,mPOS,2017-02-15,mPOS,FMT_UNB_0782,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7155,mPOS,2017-02-16,mPOS,FMT_UNB_0782,,,True,2017,2,16,4,0,0,0,0,0,0,0,0
7156,mPOS,2017-02-16,mPOS,FMT_UNB_0782,,,True,2017,2,16,4,0,0,0,0,0,0,0,0
7157,mPOS,2017-02-16,mPOS,FMT_UNB_0782,,,True,2017,2,16,4,0,0,0,0,0,0,0,0
7169,mPOS,2017-02-16,mPOS,FMT_UNB_0782,,,True,2017,2,16,4,0,0,0,0,0,0,0,0
15701,mPOS,2017-03-24,mPOS,FMT_UNB_0782,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16243,mPOS,2017-03-24,mPOS,FMT_UNB_0782,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
30546,mPOS,2017-04-21,mPOS,FMT_UNB_0782,,,True,2017,4,21,5,0,0,0,0,0,0,0,0
