,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
40,mPOS,2017-02-10,mPOS,ODS_POS_1670,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
73,mPOS,2017-02-10,mPOS,ODS_POS_1670,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
114,mPOS,2017-02-08,mPOS,ODS_POS_1670,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
147,mPOS,2017-02-10,mPOS,ODS_POS_1670,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
214,mPOS,2017-02-10,mPOS,ODS_POS_1670,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
290,mPOS,2017-02-14,mPOS,ODS_POS_1670,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
335,mPOS,2017-02-14,mPOS,ODS_POS_1670,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
368,mPOS,2017-02-14,mPOS,ODS_POS_1670,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
401,mPOS,2017-02-14,mPOS,ODS_POS_1670,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
439,mPOS,2017-02-10,mPOS,ODS_POS_1670,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
495,mPOS,2017-02-09,mPOS,ODS_POS_1670,,,True,2017,2,9,4,0,0,0,0,0,0,0,0
531,mPOS,2017-02-09,mPOS,ODS_POS_1670,,,True,2017,2,9,4,0,0,0,0,0,0,0,0
591,mPOS,2017-02-08,mPOS,ODS_POS_1670,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
624,mPOS,2017-02-08,mPOS,ODS_POS_1670,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
657,mPOS,2017-02-08,mPOS,ODS_POS_1670,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
