,username,query_date,report_name,doc,start_date,end_date,is_period
10790,ricky,2017-03-14,ricky,ODS_INV_7230,,9999-12-31,True
10820,ricky,2017-03-14,ricky,ODS_INV_7230,,9999-12-31,True
10829,ricky,2017-03-14,ricky,ODS_INV_7230,,9999-12-31,True
10832,ricky,2017-03-14,ricky,ODS_UNB_0220,2017-02-02,2017-02-02,True
11046,ricky,2017-03-14,ricky,ODS_INV_7230,,9999-12-31,True
11047,ricky,2017-03-14,ricky,ODS_INV_7230,,9999-12-31,True
11064,ricky,2017-03-14,ricky,ODS_INV_7230,,9999-12-31,True
11177,ricky,2017-03-14,ricky,ODS_POS_1460,2016-10-28,2016-10-28,True
11178,ricky,2017-03-14,ricky,ODS_POS_1460,2017-02-02,2017-02-02,True
11481,ricky,2017-03-14,ricky,ODS_POS_1460,2017-02-02,2017-02-02,True
11482,ricky,2017-03-14,ricky,ODS_POS_1460,2016-10-28,2016-10-28,True
11970,ricky,2017-03-14,ricky,ODS_INV_7230,,9999-12-31,True
11976,ricky,2017-03-14,ricky,ODS_UNB_0221,2017-02-02,2017-02-02,True
