,username,query_date,report_name,doc,start_date,end_date,is_period
26119,roxana,2017-04-11,roxana,ODS_INV_7250,2017-04-05,2017-04-05,True
26361,roxana,2017-04-11,roxana,ODS_INV_7260,,9999-12-31,True
26362,roxana,2017-04-11,roxana,ODS_INV_7260,,9999-12-31,True
26409,roxana,2017-04-11,roxana,ODS_FIN_0750,,9999-12-31,True
26435,roxana,2017-04-11,roxana,ODS_FIN_0750,,9999-12-31,True
27297,roxana,2017-04-11,roxana,ODS_INV_7100,2017-04-05,2017-04-05,True
27299,roxana,2017-04-11,roxana,ODS_FIN_0750,,9999-12-31,True
27302,roxana,2017-04-11,roxana,ODS_FIN_0891,,9999-12-31,True
27303,roxana,2017-04-11,roxana,ODS_FIN_0892,,9999-12-31,True
27480,roxana,2017-04-11,roxana,ODS_FIN_0750,,9999-12-31,True
27495,roxana,2017-04-11,roxana,ODS_FIN_0750,,9999-12-31,True
27557,roxana,2017-04-11,roxana,ODS_INV_7180,2017-04-05,2017-04-05,True
27580,roxana,2017-04-11,roxana,ODS_FIN_0890,,9999-12-31,True
27584,roxana,2017-04-11,roxana,ODS_FIN_0750,,9999-12-31,True
27596,roxana,2017-04-11,roxana,ODS_INV_7250,2017-04-05,2017-04-05,True
27706,roxana,2017-04-11,roxana,ODS_INV_7250,2017-04-05,2017-04-05,True
28581,roxana,2017-04-11,roxana,ODS_FIN_0750,,9999-12-31,True
