,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
6073,roxana,2017-02-10,roxana,ODS_FIN_0270,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
6324,roxana,2017-02-09,roxana,ODS_FIN_0270,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
6344,roxana,2017-02-09,roxana,ODS_FIN_0270,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
6494,roxana,2017-02-20,roxana,ODS_FIN_0270,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
6937,roxana,2017-02-10,roxana,ODS_FIN_0270,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
7068,roxana,2017-02-09,roxana,ODS_FIN_0270,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
7176,roxana,2017-02-16,roxana,ODS_FIN_0270,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
11420,roxana,2017-03-13,roxana,ODS_FIN_0270,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
12951,roxana,2017-03-16,roxana,ODS_FIN_0270,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
12976,roxana,2017-03-16,roxana,ODS_FIN_0270,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
13132,roxana,2017-03-17,roxana,ODS_FIN_0270,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
23281,roxana,2017-04-07,roxana,ODS_FIN_0270,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
25108,roxana,2017-04-07,roxana,ODS_FIN_0270,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
